fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc,test_auc_pr,test_prevalence,test_auc_pr_lift,test_p_at_k,test_r_at_k
1,0.7857142857142857,0.6666666666666666,0.36363636363636365,0.47058823529411764,0.06451612903225806,0.6363636363636364,0.6319648093841642,0.4704764563855473,0.2619047619047619,1.7963646516539078,0.5454545454545454,0.5454545454545454
2,0.7857142857142857,0.75,0.2727272727272727,0.4,0.03225806451612903,0.7272727272727273,0.7302052785923754,0.5774008781167657,0.2619047619047619,2.2046215346276505,0.45454545454545453,0.45454545454545453
3,0.7619047619047619,0.5555555555555556,0.45454545454545453,0.5,0.12903225806451613,0.5454545454545454,0.6451612903225806,0.4341487436444723,0.2619047619047619,1.6576588393698033,0.5454545454545454,0.5454545454545454
4,0.8292682926829268,0.6363636363636364,0.7,0.6666666666666666,0.12903225806451613,0.3,0.7983870967741936,0.5632792207792208,0.24390243902439024,2.309444805194805,0.6,0.6
5,0.8536585365853658,0.75,0.6,0.6666666666666666,0.06451612903225806,0.4,0.7580645161290323,0.627342132505176,0.24390243902439024,2.5721027432712216,0.6,0.6
6,0.8292682926829268,0.7142857142857143,0.5,0.5882352941176471,0.06451612903225806,0.5,0.8387096774193549,0.672844611528822,0.24390243902439024,2.7586629072681705,0.6,0.6
7,0.8048780487804879,0.75,0.3,0.42857142857142855,0.03225806451612903,0.7,0.6,0.41883655083655086,0.24390243902439024,1.7172298584298586,0.4,0.4
8,0.8292682926829268,0.7142857142857143,0.5,0.5882352941176471,0.06451612903225806,0.5,0.7209677419354839,0.5212108420893251,0.24390243902439024,2.136964452566233,0.5,0.5
9,0.7317073170731707,0.42857142857142855,0.3,0.35294117647058826,0.12903225806451613,0.7,0.4258064516129032,0.26533469217679745,0.24390243902439024,1.0878722379248695,0.3,0.3
10,0.825,0.6666666666666666,0.6,0.631578947368421,0.1,0.4,0.8,0.6261273448773448,0.25,2.504509379509379,0.6,0.6
