fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc,test_auc_pr,test_prevalence,test_auc_pr_lift,test_p_at_k,test_r_at_k
1,0.8301886792452831,0.75,0.2727272727272727,0.4,0.023809523809523808,0.7272727272727273,0.5497835497835498,0.38799955243805506,0.20754716981132076,1.8694523890197197,0.2727272727272727,0.2727272727272727
2,0.7547169811320755,0.4166666666666667,0.45454545454545453,0.43478260869565216,0.16666666666666666,0.5454545454545454,0.6471861471861472,0.32328540010358187,0.20754716981132076,1.5576478368627125,0.36363636363636365,0.36363636363636365
3,0.7884615384615384,0.5,0.45454545454545453,0.47619047619047616,0.12195121951219512,0.5454545454545454,0.6740576496674058,0.45170410397683125,0.21153846153846154,2.1353284915268387,0.5454545454545454,0.5454545454545454
4,0.803921568627451,0.5,0.7,0.5833333333333334,0.17073170731707318,0.3,0.7902439024390244,0.6339359063783616,0.19607843137254902,3.2330731225296443,0.5,0.5
5,0.8235294117647058,0.5555555555555556,0.5,0.5263157894736842,0.0975609756097561,0.5,0.748780487804878,0.5521408178384923,0.19607843137254902,2.815918170976311,0.5,0.5
6,0.7843137254901961,0.42857142857142855,0.3,0.35294117647058826,0.0975609756097561,0.7,0.6609756097560976,0.40488995598239297,0.19607843137254902,2.064938775510204,0.4,0.4
7,0.8235294117647058,0.5714285714285714,0.4,0.47058823529411764,0.07317073170731707,0.6,0.8195121951219513,0.5964167995746943,0.19607843137254902,3.0417256778309407,0.5,0.5
8,0.9019607843137255,0.8571428571428571,0.6,0.7058823529411765,0.024390243902439025,0.4,0.7707317073170732,0.6536224489795918,0.19607843137254902,3.333474489795918,0.6,0.6
9,0.8235294117647058,0.6666666666666666,0.2,0.3076923076923077,0.024390243902439025,0.8,0.575609756097561,0.3377988247759843,0.19607843137254902,1.7227740063575199,0.4,0.4
10,0.8823529411764706,0.8333333333333334,0.5,0.625,0.024390243902439025,0.5,0.697560975609756,0.6145513446686407,0.19607843137254902,3.1342118578100675,0.5,0.5
