fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc,test_auc_pr,test_prevalence,test_auc_pr_lift,test_p_at_k,test_r_at_k
1,0.8636363636363636,0.9,0.8181818181818182,0.8571428571428571,0.09090909090909091,0.18181818181818182,0.9338842975206612,0.9369375573921028,0.5,1.8738751147842057,0.9090909090909091,0.9090909090909091
2,0.5909090909090909,0.625,0.45454545454545453,0.5263157894736842,0.2727272727272727,0.5454545454545454,0.512396694214876,0.6781276386152547,0.5,1.3562552772305094,0.45454545454545453,0.45454545454545453
3,0.6818181818181818,0.75,0.5454545454545454,0.631578947368421,0.18181818181818182,0.45454545454545453,0.7355371900826446,0.6595666959303323,0.5,1.3191333918606647,0.7272727272727273,0.7272727272727273
4,0.8,0.75,0.9,0.8181818181818182,0.3,0.1,0.89,0.8821031746031746,0.5,1.7642063492063491,0.9,0.9
5,0.8,0.875,0.7,0.7777777777777778,0.1,0.3,0.84,0.7578646353646354,0.5,1.5157292707292709,0.7,0.7
6,0.8,0.875,0.7,0.7777777777777778,0.1,0.3,0.795,0.7891117216117216,0.5,1.5782234432234432,0.8,0.8
7,0.75,0.6923076923076923,0.9,0.782608695652174,0.4,0.1,0.87,0.8313339438339438,0.5,1.6626678876678875,0.8,0.8
8,0.7,0.7,0.7,0.7,0.3,0.3,0.6500000000000001,0.6187499999999999,0.5,1.2374999999999998,0.7,0.7
9,0.7,0.75,0.6,0.6666666666666666,0.2,0.4,0.7400000000000001,0.8147744360902256,0.5,1.6295488721804512,0.7,0.7
10,0.75,0.7777777777777778,0.7,0.7368421052631579,0.2,0.3,0.67,0.654265873015873,0.5,1.308531746031746,0.7,0.7
