fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc,test_auc_pr,test_prevalence,test_auc_pr_lift,test_p_at_k,test_r_at_k
1,0.9038461538461539,0.6,0.2727272727272727,0.375,0.021505376344086023,0.7272727272727273,0.6451612903225806,0.3353397622846207,0.10576923076923077,3.170485025236414,0.36363636363636365,0.36363636363636365
2,0.9038461538461539,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.03225806451612903,0.6363636363636364,0.6534701857282501,0.34544108972701526,0.10576923076923077,3.2659884846917806,0.36363636363636365,0.36363636363636365
3,0.875,0.25,0.09090909090909091,0.13333333333333333,0.03225806451612903,0.9090909090909091,0.5747800586510264,0.17829481453651103,0.10576923076923077,1.6856964283451952,0.18181818181818182,0.18181818181818182
4,0.9514563106796117,1.0,0.5,0.6666666666666666,0.0,0.5,0.8505376344086022,0.6828825381829633,0.0970873786407767,7.033690143284522,0.6,0.6
5,0.9029126213592233,0.5,0.4,0.4444444444444444,0.043010752688172046,0.6,0.8064516129032258,0.4776533900881727,0.0970873786407767,4.919829917908179,0.5,0.5
6,0.9223300970873787,0.6666666666666666,0.4,0.5,0.021505376344086023,0.6,0.8129032258064516,0.4936853467265838,0.0970873786407767,5.084959071283813,0.5,0.5
7,0.9029126213592233,0.5,0.2,0.2857142857142857,0.021505376344086023,0.8,0.635483870967742,0.23471680299943498,0.0970873786407767,2.4175830708941803,0.2,0.2
8,0.9215686274509803,0.6,0.6,0.6,0.043478260869565216,0.4,0.7831521739130435,0.4657106524911403,0.09803921568627451,4.7502486554096315,0.6,0.6
9,0.9117647058823529,1.0,0.1,0.18181818181818182,0.0,0.9,0.5999999999999999,0.26636713657266875,0.09803921568627451,2.7169447930412214,0.2,0.2
10,0.9019607843137255,0.5,0.5,0.5,0.05434782608695652,0.5,0.8282608695652173,0.4688436447811447,0.09803921568627451,4.782205176767676,0.5,0.5
