fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc,test_auc_pr,test_prevalence,test_auc_pr_lift,test_p_at_k,test_r_at_k
1,0.9047619047619048,0.8,0.36363636363636365,0.5,0.0136986301369863,0.6363636363636364,0.8206724782067248,0.49959161619361175,0.13095238095238096,3.815063250933035,0.5454545454545454,0.5454545454545454
2,0.8554216867469879,0.4,0.18181818181818182,0.25,0.041666666666666664,0.8181818181818182,0.6066919191919192,0.26995479331091377,0.13253012048192772,2.0369316222550764,0.36363636363636365,0.36363636363636365
3,0.8313253012048193,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.09722222222222222,0.6363636363636364,0.688131313131313,0.3197096035265144,0.13253012048192772,2.4123542811546086,0.36363636363636365,0.36363636363636365
4,0.926829268292683,0.75,0.6,0.6666666666666666,0.027777777777777776,0.4,0.8951388888888889,0.5148128342245989,0.12195121951219512,4.221465240641711,0.6,0.6
5,0.8658536585365854,0.4444444444444444,0.4,0.42105263157894735,0.06944444444444445,0.6,0.6486111111111111,0.36216502173948983,0.12195121951219512,2.969753178263817,0.4,0.4
6,0.8658536585365854,0.42857142857142855,0.3,0.35294117647058826,0.05555555555555555,0.7,0.5076388888888889,0.2528475926226454,0.12195121951219512,2.073350259505692,0.3,0.3
7,0.8902439024390244,0.6,0.3,0.4,0.027777777777777776,0.7,0.6083333333333334,0.29955183722129247,0.12195121951219512,2.4563250652145983,0.3,0.3
8,0.9024390243902439,0.6666666666666666,0.4,0.5,0.027777777777777776,0.6,0.7388888888888889,0.5468573102960137,0.12195121951219512,4.484229944427312,0.4,0.4
9,0.8780487804878049,0.5,0.1,0.16666666666666666,0.013888888888888888,0.9,0.6222222222222222,0.24230453353865333,0.12195121951219512,1.9868971750169573,0.3,0.3
10,0.8658536585365854,0.42857142857142855,0.3,0.35294117647058826,0.05555555555555555,0.7,0.8152777777777778,0.37172664281023415,0.12195121951219512,3.0481584710439202,0.3,0.3
