nodeid,node,is_seed,is_deposit_seed,is_withdraw_seed,is_tornado_fixed,pool_0_1_num,pool_1_num,pool_10_num,pool_100_num,num_all,pool_0_1_num_d,pool_0_1_num_w,pool_1_num_d,pool_1_num_w,pool_10_num_d,pool_10_num_w,pool_100_num_d,pool_100_num_w,num_d_all,num_w_all,early_time,late_time,total_time_gap,min_time_gap,max_time_gap,avg_time_gap,early_time_d,late_time_d,total_time_gap_d,min_time_gap_d,max_time_gap_d,avg_time_gap_d,early_time_w,late_time_w,total_time_gap_w,min_time_gap_w,max_time_gap_w,avg_time_gap_w,min_gasprice_all,max_gasprice_all,avg_gasprice_all,min_gasprice_d,max_gasprice_d,avg_gasprice_d,min_gasprice_w,max_gasprice_w,avg_gasprice_w,deg_out,deg_in,deg_total,tx_count,out_in_ratio,distinct_seeds,distinct_deposit_seeds,distinct_withdraw_seeds,is_bridge,bridge_balance,val_out_sum,val_out_mean,val_out_max,val_in_sum,val_in_mean,val_in_max,val_total_sum,val_in_out_ratio,asset_eth,asset_usdt,asset_weth,asset_usdc,asset_dai,asset_wbtc,asset_torn,cat_external,cat_internal,cat_erc20,pool_0_1,pool_1,pool_10,pool_100,first_block,last_block,active_span_blocks,active_days
24,0x0000000000a47f168017e6624f59488924ec6f50,0.0,-0.7781408988790701,0.666988542968199,0.0,-0.1421165987265633,-0.2008878679829166,0.0288364009940047,-0.1245853176121766,-0.2318975761782239,-0.0910283743133846,-0.1505219210266951,-0.1559995954109269,-0.1673986363245074,-0.1906231621618881,0.2953734635321236,-0.0865814083334232,-0.131668487114318,-0.2300893588828813,-0.1130360944530436,-0.3283605458424485,-0.3440332375972457,-0.1937156882937132,-0.0957266942741738,-0.1842541175043235,-0.1477748613934851,-0.7774425926638499,-0.777457619906087,-0.1363705449253317,-0.0630097612472265,-0.1304082903439895,-0.1038554557994503,0.6207652420790507,0.6200353499134522,-0.121186403669267,-0.0621570481837073,-0.1149362247251203,-0.0921927932559385,1.5983061400423173,1.0743283952530174,1.4118204550393838,-0.4482825967956938,-0.4525973731808837,-0.4654205354202897,1.886436052880501,1.4931988833251302,1.7520994053979406,-0.0003763427010265,0.0425591068841901,0.0021806826119592,0.0051874355279252,0.35166617499064,-0.2637263367108861,-0.2298407550947282,-0.233028935679336,-0.3140849815810744,-0.3005597552523141,-0.0108313210566184,-0.0253496158574229,-0.0172147587311127,-0.008312807914268,-0.0482763929472499,-0.0130430253990662,-0.0132948206534786,1.0289467892055817,0.0306894961070852,-0.0028173542272664,-0.0154432051274748,-0.0027513596184667,-0.0262161513908444,-0.053181476396122,-0.0281229245830629,0.0715884342336332,-0.0048418707945878,-0.0029297130478144,-0.016178860854233,-0.0221193577677707,0.0045855979908622,-0.0106084236557903,0.2241963778672131,1.011200290259882,1.7717018271228828,1.4915885362998065
137,0x00000583cf2c6aa7488471fbe12ac7f0dfeb1cda,0.0,1.285114304415207,0.666988542968199,0.0,-0.1421165987265633,2.2800565210353345,-0.2905929602131545,-0.1245853176121766,1.0310409080458514,-0.0910283743133846,-0.1505219210266951,1.5838093489583398,2.109462569353819,-0.1906231621618881,-0.2405591874696383,-0.0865814083334232,-0.131668487114318,0.6103754367377933,1.0962872669235455,-0.6814883978494024,-0.6987202551221257,-0.1933904775876445,-0.0957266942741738,-0.1841337509129027,-0.1477167371077888,1.2219309459767032,1.220076484861689,-0.1360186519410922,-0.0630097612472265,-0.1301748039948673,-0.103689445642454,0.5810783932238954,0.5803638793884037,-0.1206539551776198,-0.0621570481837073,-0.1145551850913991,-0.0920224925514576,1.2024524333185886,1.0962643796113307,1.107462451292558,2.348552245133014,1.85220641711454,2.189959387945601,1.4769575540342244,1.5175572235128598,1.4247752314520123,-0.004181115365365,-0.0182719058160184,-0.0052645995668914,-0.0278267434549421,1.0973878651462856,-0.2637263367108861,-0.2298407550947282,-0.233028935679336,-0.3140849815810744,-0.3005597552523141,-0.0110065330304813,-0.0222894006060212,-0.0170318632080729,-0.0091525127271477,-0.0490744092706805,-0.0142538503072961,-0.014024981503563,-0.6790732700341338,-0.0179822703159863,-0.0028173542272664,-0.0154432051274748,-0.0027513596184667,-0.0262161513908444,-0.053181476396122,-0.0281229245830629,-0.0279950918219669,-0.0048418707945878,-0.0029297130478144,-0.016178860854233,-0.019380054374104,-0.0029967425350361,-0.0106084236557903,-0.0487445822823547,-0.2568880776858763,-0.4665868571553543,-0.4090516838673035
348,0x0037144a89619ec139d0ac51d1b16115667d0684,0.0,1.285114304415207,0.666988542968199,0.0,-0.1421165987265633,0.1807958841737373,0.0288364009940047,-0.1245853176121766,-0.0214078288075447,-0.0910283743133846,-0.1505219210266951,0.1339685619839508,0.1578672502009677,0.222997759158066,-0.2405591874696383,-0.0865814083334232,-0.131668487114318,0.0500655729906768,-0.1130360944530436,-0.9105283243590304,-0.6899691907918045,3.0643265070368906,-0.0956978347918839,3.7672210979268654,3.3376321393980497,1.1971541383311488,1.1953207516838944,-0.1363529849339974,-0.0629604693689104,-0.1303866765041195,-0.1038140893341004,0.5820601451801799,0.5813430006958029,-0.121186403669267,-0.0621570481837073,-0.1149362247251203,-0.0921927932559385,-0.3026034739685542,0.947460784102014,0.1772029477484357,0.2382050337187585,0.0945852990573838,0.1743069208735828,1.718728121126661,1.352321483854813,1.5923853281823712,-0.0042160215365974,-0.0176925628379212,-0.0052645995668914,-0.0278267434549421,0.308226100282163,-0.2637263367108861,-0.2298407550947282,-0.233028935679336,-0.3140849815810744,-0.3005597552523141,-0.0088112752489835,0.0128907081597985,-0.0059136449110205,-0.0066611226846154,0.1995341953308284,-0.0034917890930176,-0.0107413107231568,0.6834113927752133,-0.0179822703159863,-0.0028173542272664,-0.0154432051274748,-0.0027513596184667,-0.0262161513908444,-0.053181476396122,-0.0281229245830629,-0.0279950918219669,-0.0048418707945878,-0.0029297130478144,-0.016178860854233,-0.019380054374104,-0.0029967425350361,-0.0106084236557903,-0.2371698867853468,-0.2210183492141332,-0.0091405970767695,0.0083458323740887
355,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0.0,1.285114304415207,0.666988542968199,0.0,2.864835095539033,0.5624796363303913,2.584271290651279,1.380674662845584,3.241183255437983,2.0025466720963587,2.7271726607993148,0.7139048767737064,0.1578672502009677,2.704723287077792,0.8313061145338856,1.9616823816862683,-0.131668487114318,3.271847289536596,1.4993950540490757,-1.096976333089996,-0.3387979233076968,10.409395756927603,-0.0957073280426371,2.7689982913118065,0.5396832401203902,1.1769853049986787,1.2588013117270125,15.464875844457817,-0.062976683802567,4.2795046952682565,1.4274864592147587,0.5343835994220162,0.5511444999785315,3.906292888852331,-0.0620646872527414,1.915091754720219,0.873393974988501,-0.6226376835782241,2.3382710208904687,0.0624945512855025,-0.2105379654860404,3.838586458932749,1.0695298018600234,-0.4109498941778456,0.0790149582335437,-0.3360266228220014,0.0125040344837521,0.0860098302414819,0.0176279035811635,0.2334684048362888,1.0234784574176317,9.27177312250404,11.160433903340987,8.904252926170281,3.1838516918768094,4.507163583214148,0.0857219496211973,-0.0186731454170532,0.12818718208557,0.0376035416235251,-0.0213026747733761,0.0583956441864981,0.0846316860018075,0.2241997843603516,0.1187080643581539,-0.0022837933072799,0.0668014624393851,-0.000154168829799,0.4551860544319357,0.5583148832559546,0.6736118643220339,0.2139835696215476,0.0168097507605276,-0.0006105867108404,0.2632794139719591,-0.0221193577677707,-0.0029967425350361,-0.0106084236557903,-1.0583817787476075,1.1282746828176704,4.606179625097554,4.233567951499381
540,0x007ea356ac230e70ab1f0a251d7f25db05a1f48d,0.0,1.285114304415207,-1.4992761278175035,0.0,0.5022301929017788,-0.2008878679829166,-0.2905929602131545,-0.1245853176121766,-0.0214078288075447,0.6940622680902692,-0.1505219210266951,-0.1559995954109269,-0.1673986363245074,-0.1906231621618881,-0.2405591874696383,-0.0865814083334232,-0.131668487114318,0.1901430389274559,-0.3145899880158085,-0.5516178878890668,-0.5682779717569111,-0.1935313341802778,-0.0956864428909799,-0.1840507132010998,-0.1475776419963536,1.2359789282750957,1.234111053969337,-0.1360992892697196,-0.0629410120485225,-0.1301045590152897,-0.103535954284182,-1.496155589671646,-1.496188265343894,-0.121186403669267,-0.0621570481837073,-0.1149362247251203,-0.0921927932559385,-0.5802490472624725,-0.564087529101544,-0.581637608680459,-0.1511018076586271,-0.134731917051867,-0.1220639967273972,-0.5863402959540108,-0.5839736025107081,-0.6028112334994046,-0.0042858338790624,-0.017113219859824,-0.0052993906051104,-0.0282293553937576,-1.270097429446082,-0.2637263367108861,-0.2298407550947282,-0.233028935679336,-0.3140849815810744,-0.3005597552523141,-0.0113196720096486,-0.0254830238408445,-0.018129236346312,-0.0091524589446381,-0.0490690424696404,-0.0142536179829105,-0.0142337684447038,1.9359086242058616,-0.0184371466376973,-0.002750659112268,-0.0154432051274748,-0.0027513596184667,-0.0262161513908444,-0.053181476396122,-0.0281229245830629,-0.028925778981365,-0.0048418707945878,-0.00288972811097,-0.0153332987518845,-0.0221193577677707,-0.0029967425350361,-0.0106084236557903,-0.219581414953502,-0.1601462971157386,0.0892889095591551,0.098426924857112
685,0x00b2040db2f24ca4546d545a9d2e2f3a49e2468b,0.0,1.285114304415207,0.666988542968199,0.0,-0.1421165987265633,-0.0100459919045896,0.0288364009940047,3.961120343630317,1.872999897528568,-0.0910283743133846,-0.1505219210266951,-0.1559995954109269,0.1578672502009677,-0.1906231621618881,0.2953734635321236,5.472991736005739,-0.131668487114318,2.431382493915921,0.0885177991097212,-0.1940188746839259,-0.2089936616389007,-0.1924126470387841,-0.0957266942741738,-0.1828120038488835,-0.1476354303035199,1.2746715358917304,1.2727672346920171,-0.1362467007759211,-0.0630097612472265,-0.1303417424686002,-0.103839126931549,0.6358634496203587,0.6351287496061372,-0.1211299813528069,-0.0620376701096698,-0.1148676664576894,-0.0920845754169707,0.6465184878159873,1.4199524799882988,0.8127547982120298,1.5690372477555063,1.4977839371062127,1.6446358603128313,2.1345143435449376,1.8769896854855124,2.087779865045473,-0.0042858338790624,-0.017113219859824,-0.0052993906051104,-0.0282293553937576,-1.270097429446082,0.2381420558793731,0.482051411057504,-0.233028935679336,-0.3140849815810744,-0.3005597552523141,-0.0113196720096486,-0.0254830238408445,-0.018129236346312,0.0968019887861174,5.237372177327921,0.4385946653706882,0.0631547339480721,1.9359086242058616,-0.0182097084768418,-0.0028173542272664,-0.0154432051274748,-0.0027513596184667,-0.0262161513908444,-0.053181476396122,-0.0281229245830629,-0.028460435401666,-0.0048418707945878,-0.0029297130478144,-0.016178860854233,-0.0221193577677707,-0.0029967425350361,-0.0071097516772921,0.3466424035489641,0.1039367545309816,-0.468128967973917,-0.4104725394908162
702,0x00b9ee1a8020a573c528eca30afe2b6fd9921675,0.0,1.285114304415207,-1.4992761278175035,0.0,-0.1421165987265633,0.1807958841737373,0.6676951234083232,-0.1245853176121766,0.1890819185631345,-0.0910283743133846,-0.1505219210266951,0.4239367193788286,-0.1673986363245074,1.0502396017979745,-0.2405591874696383,-0.0865814083334232,-0.131668487114318,0.4702979708010141,-0.3145899880158085,-0.7798026021353934,-0.6931769811684856,1.2293534420965246,-0.0957266942741738,1.5416851032266237,0.6134147364725526,1.2112952671194954,1.2206728977684391,1.9575103170314012,-0.0630097612472265,2.4468322323954816,1.129295205148842,-1.496155589671646,-1.496188265343894,-0.121186403669267,-0.0621570481837073,-0.1149362247251203,-0.0921927932559385,-0.3895001729900995,1.276836947611632,0.8107425891061073,0.1163609177803893,2.385487044917685,1.7736255060929351,-0.5863402959540108,-0.5839736025107081,-0.6028112334994046,-0.0042509277078299,-0.017113219859824,-0.0052645995668914,-0.0282293553937576,-0.4809356645819595,0.2381420558793731,0.482051411057504,0.5976330517615382,3.1838516918768094,3.4144990673255373,-0.0100102108137503,0.0145815415298425,-0.0103280841939913,-0.0082247596360969,-0.0027855108157364,-0.0122500421144456,-0.0126829284475256,0.4634902255333629,-0.0179822703159863,-0.0028173542272664,-0.0154432051274748,-0.0027513596184667,-0.0262161513908444,-0.053181476396122,-0.0281229245830629,-0.0279950918219669,-0.0048418707945878,-0.0029297130478144,-0.0157560798030588,-0.0202931555053262,-0.0029967425350361,-0.0106084236557903,-0.1298454474966347,-0.2541809153866865,-0.2976745708076824,-0.2553271346421709
770,0x00d81bf659b8f2cb5fa0a306701ad382f00e2771,0.0,-0.7781408988790701,0.666988542968199,0.0,0.0726656651495507,-0.2008878679829166,-0.2905929602131545,-0.1245853176121766,-0.2318975761782239,-0.0910283743133846,0.3290938426109732,-0.1559995954109269,-0.1673986363245074,-0.1906231621618881,-0.2405591874696383,-0.0865814083334232,-0.131668487114318,-0.2300893588828813,-0.1130360944530436,1.1329463694348736,1.123823347740688,-0.1937156882937132,-0.0957266942741738,-0.1842541175043235,-0.1477748613934851,-0.7774425926638499,-0.777457619906087,-0.1363705449253317,-0.0630097612472265,-0.1304082903439895,-0.1038554557994503,0.7849966000645499,0.7842126176326573,-0.121186403669267,-0.0621570481837073,-0.1149362247251203,-0.0921927932559385,-0.7907687221267657,-0.7951622853112545,-0.8324950552935994,-0.4482825967956938,-0.4525973731808837,-0.4654205354202897,-0.5848677939093517,-0.582736676763685,-0.6014089187561403,-0.0027848685160665,-0.0072643892321712,-0.0032119283119747,-0.0040726390648302,0.8844395121355944,-0.2637263367108861,-0.2298407550947282,-0.233028935679336,-0.3140849815810744,-0.3005597552523141,-0.0113032479748933,-0.0254701388815493,-0.018056078137096,-0.0091378346321158,-0.0488651686080213,-0.0142061569827062,-0.0142121340676702,0.6144176429792829,-0.0082024293992009,-0.0020170128472867,0.0028333876651607,-0.0026514676650564,-0.0262161513908444,0.5583148832559546,-0.0281229245830629,-0.0079853178949071,-0.0048418707945878,-0.0022899540583044,0.0100335643185716,-0.0221193577677707,-0.0029967425350361,-0.0106084236557903,1.4904781929654318,1.2751157065283127,-0.1927719784171734,-0.1828808853342129
817,0x00eba269ce6eb13ff6cb2f0c0551b7dace7e434b,0.0,1.285114304415207,-1.4992761278175035,0.0,0.0726656651495507,-0.2008878679829166,-0.2905929602131545,-0.1245853176121766,-0.2318975761782239,0.1706685064878332,-0.1505219210266951,-0.1559995954109269,-0.1673986363245074,-0.1906231621618881,-0.2405591874696383,-0.0865814083334232,-0.131668487114318,-0.0900118929461022,-0.3145899880158085,-0.1392676868357838,-0.1540928524313851,-0.1937156882937132,-0.0957266942741738,-0.1842541175043235,-0.1477748613934851,1.2805845131577671,1.2786741322179629,-0.1363705449253317,-0.0630097612472265,-0.1304082903439895,-0.1038554557994503,-1.496155589671646,-1.496188265343894,-0.121186403669267,-0.0621570481837073,-0.1149362247251203,-0.0921927932559385,-0.4733673961890307,-0.5467904865721395,-0.5343257806164721,-0.0012353520657875,-0.111052328280018,-0.0576501707029277,-0.5863402959540108,-0.5839736025107081,-0.6028112334994046,-0.0042858338790624,-0.0182719058160184,-0.0053689726815482,-0.0290345792713885,-1.270097429446082,-0.2637263367108861,-0.2298407550947282,-0.233028935679336,-0.3140849815810744,-0.3005597552523141,-0.0113196720096486,-0.0254830238408445,-0.018129236346312,-0.0091525127271477,-0.0490744092706805,-0.0142538503072961,-0.014233807727131,-0.6790732700341338,-0.0186645847985528,-0.0028173542272664,-0.0154432051274748,-0.0027513596184667,-0.0262161513908444,-0.053181476396122,-0.0281229245830629,-0.0293911225610641,-0.0048418707945878,-0.0029297130478144,-0.016178860854233,-0.0221193577677707,-0.0029967425350361,-0.0106084236557903,-1.5304121313279868,-1.6123718085612022,-0.4681345115095393,-0.4104790555124439
960,0x012e01e9b8b5f42529bbc18c5f48050cc80711fe,0.0,1.285114304415207,0.666988542968199,0.0,0.0726656651495507,-0.0100459919045896,0.0288364009940047,-0.1245853176121766,-0.0214078288075447,0.1706685064878332,-0.1505219210266951,-0.1559995954109269,0.1578672502009677,0.222997759158066,-0.2405591874696383,-0.0865814083334232,-0.131668487114318,0.0500655729906768,-0.1130360944530436,-1.0302169675619457,-0.8201757155624995,2.9281814653571456,-0.095411138619135,3.601954720650672,3.191986118584164,1.1842069349097797,1.1823862647559222,-0.1361785402832417,-0.0624707934724812,-0.1301719600685686,-0.103403146158585,0.5674919682920129,0.5667796218959973,-0.121186403669267,-0.0621570481837073,-0.1149362247251203,-0.0921927932559385,-0.5802490472624725,0.3480823203050233,-0.2431657939267129,-0.1511018076586271,-0.2255506188030146,-0.1943495911252864,0.9264019979403136,0.6867546105436184,0.837825694090413,-0.0031339302283911,-0.0032089883854906,-0.0033163014266314,-0.015345773351663,0.4660584908851529,0.2381420558793731,0.482051411057504,0.5976330517615382,3.1838516918768094,3.4144990673255373,-0.0112243425821824,-0.0253824472780821,-0.0180194990324881,-0.008587674391745,-0.0463904291098136,-0.0133613515556161,-0.0137576798259761,1.586752326406334,-0.007292676755779,-0.0028173542272664,-0.0154432051274748,-0.0025515757116461,0.2546018020057773,-0.053181476396122,-0.0281229245830629,-0.0061239435761108,-0.0048418707945878,-0.002569848616215,0.0087652211650488,-0.0221193577677707,-0.0029967425350361,-0.0106084236557903,-0.3846316255946726,-0.3020270564865693,0.1091435863481494,0.1213760714685982
