nodeid,node,0.1_num,1_num,10_num,100_num,num_all,0.1_num_d,0.1_num_w,1_num_d,1_num_w,10_num_d,10_num_w,100_num_d,100_num_w,num_d_all,num_w_all,value_d,value_w,avg_value_d,avg_value_w,min_gasprice_all,max_gasprice_all,avg_gasprice_all,min_gasprice_d,max_gasprice_d,avg_gasprice_d,min_gasprice_w,max_gasprice_w,avg_gasprice_w,early_time,late_time,total_time_gap,min_time_gap,max_time_gap,avg_time_gap,early_time_d,late_time_d,total_time_gap_d,min_time_gap_d,max_time_gap_d,avg_time_gap_d,early_time_w,late_time_w,total_time_gap_w,min_time_gap_w,max_time_gap_w,avg_time_gap_w
56908,0x5d007e64500183cc0e44d2356365cf66b8d8ae5a,0.2874479290256648,-0.2008878679829166,-0.2905929602131545,-0.1245853176121766,-0.1266527024928843,0.1706685064878332,0.3290938426109732,-0.1559995954109269,-0.1673986363245074,-0.1906231621618881,-0.2405591874696383,-0.0865814083334232,-0.131668487114318,-0.0900118929461022,-0.1130360944530436,-0.1006369584690171,-0.1534143646203896,-0.2862911710856428,-0.4356070639868069,-0.5262035440985074,0.2154030101963397,-0.1016381502850772,1.3645202017247566,0.9323878168993236,1.1881122109003983,-0.311196611586391,-0.352848417619121,-0.3407823646742428,-0.7504584063976849,-0.5613407751131745,2.625644744933371,6.722019174861645,3.2351840039419337,5.884448174764705,1.2144695471621598,1.2126200552383015,-0.1363705449253317,-0.0630097612472265,-0.1304082903439895,-0.1038554557994503,0.5964517550918261,0.5957298706721404,-0.121186403669267,-0.0621570481837073,-0.1149362247251203,-0.0921927932559385
57140,0x5d6ea474214e1d902749688299708294b119998f,-0.1421165987265633,0.1807958841737373,0.9871244846154824,-0.1245853176121766,0.2943267922484741,-0.0910283743133846,-0.1505219210266951,-0.1559995954109269,0.4831331367264428,-0.1906231621618881,1.9031714165374092,-0.0865814083334232,-0.131668487114318,-0.2300893588828813,0.8947333733607807,-0.1009272222745173,0.0397257872417182,-0.2914881069467555,-0.2076268224544431,0.1827464281240378,2.1890067121034846,1.3305291317825907,-0.4482825967956938,-0.4525973731808837,-0.4654205354202897,0.4221545367089102,2.730969352077289,1.6668530106350328,-0.7273280685456459,-0.727762766984498,0.0385427001901656,-0.0949482477124055,-0.0460111827228962,-0.0483880444877139,-0.7774425926638499,-0.777457619906087,-0.1363705449253317,-0.0630097612472265,-0.1304082903439895,-0.1038554557994503,0.5759266271647966,0.5771158533446021,0.3180354944908773,-0.0608690215954073,0.1469787285060861,0.0762926993681855
57175,0x5d7de479c1e7da37dbdd310015ebc2b9bc1383bc,0.0726656651495507,-0.2008878679829166,-0.2905929602131545,-0.1245853176121766,-0.2318975761782239,-0.0910283743133846,0.3290938426109732,-0.1559995954109269,-0.1673986363245074,-0.1906231621618881,-0.2405591874696383,-0.0865814083334232,-0.131668487114318,-0.2300893588828813,-0.1130360944530436,-0.1009272222745173,-0.1534143646203896,-0.2914881069467555,-0.4356070639868069,0.2377257237826571,0.0096516667697917,0.1336806279372432,-0.4482825967956938,-0.4525973731808837,-0.4654205354202897,0.4790261513269567,0.3109515987383765,0.4117741665141084,-0.2663833277901497,-0.2817782337319371,-0.1937156882937132,-0.0957266942741738,-0.1842541175043235,-0.1477748613934851,-0.7774425926638499,-0.777457619906087,-0.1363705449253317,-0.0630097612472265,-0.1304082903439895,-0.1038554557994503,0.6277306526840918,0.6269984664321561,-0.121186403669267,-0.0621570481837073,-0.1149362247251203,-0.0921927932559385
57368,0x5dd15a23a99760bb7d2d18a5a3b7462c1f66434c,-0.1421165987265633,0.5624796363303913,0.6676951234083232,-0.1245853176121766,0.3995716659338137,-0.0910283743133846,-0.1505219210266951,1.0038730341685842,-0.1673986363245074,1.0502396017979745,-0.2405591874696383,-0.0865814083334232,-0.131668487114318,0.7504529026745723,-0.3145899880158085,-0.0022375284044437,-0.153875319636767,-0.0390655079784235,-0.4389111254582904,-0.7846482337113162,-0.7893660036815153,-0.8261954438097332,-0.4377046182579837,-0.4431373353847764,-0.4550231422424037,-0.5863402959540108,-0.5839736025107081,-0.6028112334994046,1.0418361916069854,1.0323077553130766,-0.1936742321728044,-0.0957175807534507,-0.184240404854668,-0.1477600783381635,1.4083492848750103,1.406321555194502,-0.1363095470606966,-0.0629941953909161,-0.1303878140746389,-0.1038315067931951,-1.496155589671646,-1.496188265343894,-0.121186403669267,-0.0621570481837073,-0.1149362247251203,-0.0921927932559385
57625,0x5e3ce80935e352678c977574d372a5b9ff6c2bab,1.1465769845301208,2.2800565210353345,-0.2905929602131545,-0.1245853176121766,1.662510150157889,1.479152910493923,-0.1505219210266951,3.3236182933276064,0.1578672502009677,-0.1906231621618881,-0.2405591874696383,-0.0865814083334232,-0.131668487114318,2.291305027979142,-0.1130360944530436,-0.0643539827814901,-0.1492657694729935,-0.2551095559189664,-0.4058705107434551,-0.7792678441037578,-0.7421534274524528,-0.8018006347934996,-0.4301603867449501,-0.3785034889880158,-0.4212133281852286,-0.5597589096035688,-0.5616448041992333,-0.5774968578006883,1.0356839442102672,1.0261721378907065,-0.1930731184196267,-0.0957175807534507,-0.1840964220332849,-0.1476985942671668,1.4076837714527484,1.405661410765021,-0.1354250780234878,-0.0629941953909161,-0.1301352734193155,-0.1037242805606434,0.77406725259353,0.7732868697867173,-0.121186403669267,-0.0621570481837073,-0.1149362247251203,-0.0921927932559385
57752,0x5e7847220bb4eb1b5db303f63057388eed0874b9,0.0726656651495507,-0.2008878679829166,-0.2905929602131545,-0.1245853176121766,-0.2318975761782239,-0.0910283743133846,0.3290938426109732,-0.1559995954109269,-0.1673986363245074,-0.1906231621618881,-0.2405591874696383,-0.0865814083334232,-0.131668487114318,-0.2300893588828813,-0.1130360944530436,-0.1009272222745173,-0.1534143646203896,-0.2914881069467555,-0.4356070639868069,0.0968849179280867,-0.1005585983657369,0.0013736793051589,-0.4482825967956938,-0.4525973731808837,-0.4654205354202897,0.3333377801482601,0.188570989484628,0.2730300801700108,-0.2343414727862121,-0.2495927651063764,-0.1937156882937132,-0.0957266942741738,-0.1842541175043235,-0.1477748613934851,-0.7774425926638499,-0.777457619906087,-0.1363705449253317,-0.0630097612472265,-0.1304082903439895,-0.1038554557994503,0.6313317287514506,0.6305983564704531,-0.121186403669267,-0.0621570481837073,-0.1149362247251203,-0.0921927932559385
57908,0x5eb5e180aed3279255d20504ee591880a1168025,0.0726656651495507,-0.2008878679829166,-0.2905929602131545,-0.1245853176121766,-0.2318975761782239,-0.0910283743133846,0.3290938426109732,-0.1559995954109269,-0.1673986363245074,-0.1906231621618881,-0.2405591874696383,-0.0865814083334232,-0.131668487114318,-0.2300893588828813,-0.1130360944530436,-0.1009272222745173,-0.1534143646203896,-0.2914881069467555,-0.4356070639868069,-0.516666103640336,-0.5806724428651295,-0.5750009232204619,-0.4482825967956938,-0.4525973731808837,-0.4654205354202897,-0.3013309042927282,-0.3445610624956521,-0.3313869096113358,-1.0968927188549904,-1.1160100204392305,-0.1937156882937132,-0.0957266942741738,-0.1842541175043235,-0.1477748613934851,-0.7774425926638499,-0.777457619906087,-0.1363705449253317,-0.0630097612472265,-0.1304082903439895,-0.1038554557994503,0.5343925019586475,0.5336910570066077,-0.121186403669267,-0.0621570481837073,-0.1149362247251203,-0.0921927932559385
57994,0x5ed8e883db129806f285f456f37b9fb40c615089,-0.1421165987265633,-0.2008878679829166,0.3482657622011639,-0.1245853176121766,-0.1266527024928843,-0.0910283743133846,-0.1505219210266951,-0.1559995954109269,-0.1673986363245074,0.6366186804780203,-0.2405591874696383,-0.0865814083334232,-0.131668487114318,0.0500655729906768,-0.3145899880158085,-0.042874461174474,-0.153875319636767,0.2282054791645161,-0.4389111254582904,2.980396468369606,2.6865539551816178,3.0287284153594984,4.8415355411380325,4.31538453850313,4.793355645114452,-0.5863402959540108,-0.5839736025107081,-0.6028112334994046,-0.6653112437504497,-0.6824853289070257,-0.1935800137161935,-0.0953986075281407,-0.1840895657084572,-0.1474845759435334,1.2236802592735605,1.221823235900119,-0.1361709155501623,-0.0624493904200545,-0.1301625751117829,-0.1033851844038936,-1.496155589671646,-1.496188265343894,-0.121186403669267,-0.0621570481837073,-0.1149362247251203,-0.0921927932559385
57995,0x5ed8fb2f93e4aa2663955539637b0d40c25afad2,0.0726656651495507,-0.0100459919045896,-0.2905929602131545,-0.1245853176121766,-0.1266527024928843,-0.0910283743133846,0.3290938426109732,-0.1559995954109269,0.1578672502009677,-0.1906231621618881,-0.2405591874696383,-0.0865814083334232,-0.131668487114318,-0.2300893588828813,0.0885177991097212,-0.1009272222745173,-0.1488048144566162,-0.2914881069467555,-0.420738787365131,-0.7273587702596339,-0.7455310588420595,-0.7729201174558709,-0.4482825967956938,-0.4525973731808837,-0.4654205354202897,-0.5192753503842765,-0.5276247529710908,-0.5389354779825418,1.1658405028693055,1.1584150275215634,-0.1725636447845601,-0.0445770592155427,-0.158600035440435,-0.1025185533975303,-0.7774425926638499,-0.777457619906087,-0.1363705449253317,-0.0630097612472265,-0.1304082903439895,-0.1038554557994503,0.7886934608315899,0.7880816383046831,-0.081185950894658,0.0224757232523957,-0.0663320214464757,-0.0154720411034992
58007,0x5edcf547ece0ea1765d6c02e9e5bae53b52e09d4,-0.1421165987265633,3.234265901426969,-0.2905929602131545,-0.1245853176121766,1.5572652764725494,-0.0910283743133846,-0.1505219210266951,4.773459080301995,0.1578672502009677,-0.1906231621618881,-0.2405591874696383,-0.0865814083334232,-0.131668487114318,2.1512275620423638,-0.1130360944530436,-0.0515823753394805,-0.1492657694729935,-0.2395187483356283,-0.4058705107434551,-0.5802490472624725,0.2802408975671974,-0.5540848438393093,-0.1511018076586271,-0.1574366041144477,-0.1656479715261677,0.8367215460789106,0.6114215675000647,0.7524198908971406,-0.5653760968384755,-0.4081433669031798,2.1793746283344078,-0.0957266942741738,2.6207814988941225,0.1508956047324243,1.234490647305282,1.2330984837313217,-0.0476302045071555,-0.0630097612472265,-0.0219972510527693,-0.0907901842960438,0.613592270481069,0.6128647407628655,-0.121186403669267,-0.0621570481837073,-0.1149362247251203,-0.0921927932559385
