fold,test_auc,test_auc_pr,test_prevalence,test_p_at_k,f75_precision,f75_recall,f75_f1,cal_precision,cal_recall,cal_f1,cal_threshold
1,0.5927625772285967,0.07212521914087786,0.02091254752851711,0.09090909090909091,0.0,0.0,0.0,0.1,0.09090909090909091,0.09523809523809523,0.34
2,0.6566637246248896,0.08496580170949823,0.02091254752851711,0.09090909090909091,0.0,0.0,0.0,0.1111111111111111,0.09090909090909091,0.1,0.31000000000000005
3,0.5098852603706971,0.11619314057532318,0.02091254752851711,0.09090909090909091,0.25,0.09090909090909091,0.13333333333333333,0.022727272727272728,0.18181818181818182,0.04040404040404041,0.14
4,0.6706796116504854,0.13276922610511602,0.01904761904761905,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.30000000000000004
5,0.7858252427184466,0.25506527182867933,0.01904761904761905,0.3,0.6666666666666666,0.2,0.3076923076923077,0.2857142857142857,0.2,0.23529411764705882,0.38000000000000006
6,0.7165048543689321,0.18944985981012072,0.01904761904761905,0.2,0.3333333333333333,0.1,0.15384615384615385,0.23076923076923078,0.3,0.2608695652173913,0.22000000000000003
7,0.7351456310679612,0.1853996641684478,0.01904761904761905,0.2,0.0,0.0,0.0,0.4,0.2,0.26666666666666666,0.27
8,0.8027184466019417,0.44955805245127833,0.01904761904761905,0.5,0.5,0.2,0.2857142857142857,0.6,0.3,0.4,0.34
9,0.6372815533980583,0.04649311011753486,0.01904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
10,0.6316504854368932,0.1356936891455035,0.01904761904761905,0.2,0.0,0.0,0.0,0.4,0.2,0.26666666666666666,0.5400000000000001
