fold,test_auc,test_auc_pr,test_prevalence,test_p_at_k,f75_precision,f75_recall,f75_f1,cal_precision,cal_recall,cal_f1,cal_threshold
1,0.6394527802294792,0.3058214475497406,0.05069124423963134,0.36363636363636365,0.0,0.0,0.0,0.4,0.18181818181818182,0.25,0.33
2,0.6028243601059134,0.09048432107981301,0.05069124423963134,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.36000000000000004
3,0.585613415710503,0.16221698451277836,0.05069124423963134,0.09090909090909091,1.0,0.09090909090909091,0.16666666666666666,0.16666666666666666,0.09090909090909091,0.11764705882352941,0.35000000000000003
4,0.8344660194174758,0.5408378883257707,0.046296296296296294,0.6,0.8333333333333334,0.5,0.625,0.6666666666666666,0.6,0.631578947368421,0.45000000000000007
5,0.829611650485437,0.4152282264007774,0.046296296296296294,0.4,0.5,0.2,0.2857142857142857,0.4444444444444444,0.4,0.42105263157894735,0.33
6,0.6951456310679611,0.23463345616367337,0.046296296296296294,0.2,0.3333333333333333,0.1,0.15384615384615385,0.2,0.2,0.2,0.36000000000000004
7,0.6223300970873786,0.273099832266499,0.046296296296296294,0.2,1.0,0.1,0.18181818181818182,0.5,0.2,0.2857142857142857,0.44000000000000006
8,0.7616504854368933,0.3421920623366495,0.046296296296296294,0.5,0.5,0.2,0.2857142857142857,0.5,0.3,0.375,0.4000000000000001
9,0.5747572815533981,0.16688078250115468,0.046296296296296294,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.6800000000000002
10,0.8669902912621359,0.3452584151516646,0.046296296296296294,0.4,0.4,0.2,0.26666666666666666,0.42857142857142855,0.3,0.35294117647058826,0.39000000000000007
