fold,test_auc,test_auc_pr,test_prevalence,test_p_at_k,f75_precision,f75_recall,f75_f1,cal_precision,cal_recall,cal_f1,cal_threshold
1,0.8429752066115702,0.8180082543718907,0.5,0.7272727272727273,0.7777777777777778,0.6363636363636364,0.7,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.31000000000000005
2,0.7272727272727273,0.8246212121212122,0.5,0.7272727272727273,1.0,0.18181818181818182,0.3076923076923077,0.7777777777777778,0.6363636363636364,0.7,0.43000000000000005
3,0.5867768595041323,0.6455960705960706,0.5,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.6,0.8181818181818182,0.6923076923076923,0.4600000000000001
4,0.83,0.8612751575909471,0.5,0.8,0.8181818181818182,0.9,0.8571428571428571,0.6428571428571429,0.9,0.75,0.4800000000000001
5,0.8200000000000001,0.7724342324342324,0.5,0.7,0.6666666666666666,0.6,0.631578947368421,0.7,0.7,0.7,0.08000000000000002
6,0.79,0.826056166056166,0.5,0.8,0.8571428571428571,0.6,0.7058823529411765,0.6666666666666666,0.8,0.7272727272727273,0.4600000000000001
7,0.72,0.6708982683982684,0.5,0.6,0.75,0.6,0.6666666666666666,0.6666666666666666,0.8,0.7272727272727273,0.43000000000000005
8,0.9,0.8979292929292929,0.5,0.8,0.8,0.8,0.8,0.7692307692307693,1.0,0.8695652173913043,0.21000000000000002
9,0.71,0.8116791979949876,0.5,0.7,0.75,0.6,0.6666666666666666,0.6666666666666666,0.6,0.631578947368421,0.5100000000000001
10,0.78,0.7618253968253967,0.5,0.8,0.5,0.2,0.2857142857142857,0.75,0.6,0.6666666666666666,0.5500000000000002
