fold,test_auc,test_auc_pr,test_prevalence,test_p_at_k,f75_precision,f75_recall,f75_f1,cal_precision,cal_recall,cal_f1,cal_threshold
1,0.7272727272727273,0.467850581694576,0.1746031746031746,0.5454545454545454,0.0,0.0,0.0,0.6666666666666666,0.36363636363636365,0.47058823529411764,0.4000000000000001
2,0.6783216783216783,0.4140876177922932,0.1746031746031746,0.2727272727272727,0.6666666666666666,0.18181818181818182,0.2857142857142857,0.21428571428571427,0.2727272727272727,0.24,0.36000000000000004
3,0.7465034965034965,0.5722222222222222,0.1746031746031746,0.5454545454545454,0.75,0.2727272727272727,0.4,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.31000000000000005
4,0.8730769230769231,0.8181086702671142,0.16129032258064516,0.7,0.7777777777777778,0.7,0.7368421052631579,0.6153846153846154,0.8,0.6956521739130435,0.49000000000000005
5,0.75,0.6311148336758092,0.16129032258064516,0.6,0.6,0.6,0.6,0.5,0.6,0.5454545454545454,0.49000000000000005
6,0.8745098039215686,0.6837110601816484,0.16393442622950818,0.6,0.7142857142857143,0.5,0.5882352941176471,0.6363636363636364,0.7,0.6666666666666666,0.4000000000000001
7,0.676470588235294,0.42467532467532465,0.16393442622950818,0.3,1.0,0.1,0.18181818181818182,0.4,0.2,0.26666666666666666,0.5800000000000002
8,0.7784313725490197,0.5207210823669343,0.16393442622950818,0.5,0.45454545454545453,0.5,0.47619047619047616,0.5,0.7,0.5833333333333334,0.36000000000000004
9,0.49411764705882355,0.2563049438807953,0.16393442622950818,0.3,0.375,0.3,0.3333333333333333,0.375,0.3,0.3333333333333333,0.5200000000000001
10,0.9803921568627451,0.9097008547008546,0.16393442622950818,0.8,1.0,0.3,0.46153846153846156,0.8571428571428571,0.6,0.7058823529411765,0.36000000000000004
