fold,test_auc,test_auc_pr,test_prevalence,test_p_at_k,f75_precision,f75_recall,f75_f1,cal_precision,cal_recall,cal_f1,cal_threshold
1,0.8016528925619835,0.860199011514801,0.5,0.6363636363636364,1.0,0.5454545454545454,0.7058823529411765,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.43000000000000005
2,0.7438016528925621,0.8289502164502165,0.5,0.7272727272727273,1.0,0.45454545454545453,0.625,0.8571428571428571,0.5454545454545454,0.6666666666666666,0.4700000000000001
3,0.7933884297520661,0.8763708513708515,0.5,0.8181818181818182,1.0,0.36363636363636365,0.5333333333333333,0.8888888888888888,0.7272727272727273,0.8,0.49000000000000005
4,0.93,0.9063455988455988,0.5,0.9,0.8333333333333334,1.0,0.9090909090909091,0.7692307692307693,1.0,0.8695652173913043,0.42000000000000004
5,0.7450000000000001,0.7418109668109669,0.5,0.6,0.6,0.6,0.6,0.6363636363636364,0.7,0.6666666666666666,0.5200000000000001
6,0.92,0.9413888888888888,0.5,0.9,0.875,0.7,0.7777777777777778,0.875,0.7,0.7777777777777778,0.39000000000000007
7,0.9,0.9426315789473684,0.5,0.9,0.8888888888888888,0.8,0.8421052631578947,0.8181818181818182,0.9,0.8571428571428571,0.5100000000000001
8,0.88,0.9102272727272728,0.5,0.7,0.7,0.7,0.7,0.7272727272727273,0.8,0.7619047619047619,0.42000000000000004
9,0.6200000000000001,0.6648339160839161,0.5,0.5,0.625,0.5,0.5555555555555556,0.5555555555555556,0.5,0.5263157894736842,0.5000000000000001
10,0.75,0.7595887445887446,0.5,0.6,0.625,0.5,0.5555555555555556,0.6666666666666666,0.8,0.7272727272727273,0.5300000000000001
