fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc,test_auc_pr,test_prevalence,test_auc_pr_lift,test_p_at_k,test_r_at_k
1,0.9677727381236572,0.984251968503937,0.6561679790026247,0.7874015748031497,0.0010504201680672268,0.3438320209973753,0.9465109370519862,0.8550184791622133,0.09095249462878968,9.400714984804493,0.7795275590551181,0.7795275590551181
2,0.9711148245404632,0.9744525547445255,0.7007874015748031,0.815267175572519,0.001838235294117647,0.2992125984251969,0.9708680716381041,0.8955912228811057,0.09095249462878968,9.84680218543032,0.8267716535433071,0.8267716535433071
3,0.9632370494151349,0.9450980392156862,0.6325459317585301,0.7578616352201258,0.003676470588235294,0.3674540682414698,0.9680621264253733,0.8358196538512233,0.09095249462878968,9.18962868761883,0.8136482939632546,0.8136482939632546
4,0.9672952972069706,0.9765625,0.6561679790026247,0.7849293563579278,0.0015756302521008404,0.3438320209973753,0.9688478737951874,0.8797119692007741,0.09095249462878968,9.672213750609037,0.7979002624671916,0.7979002624671916
5,0.9634757698734782,0.9789915966386554,0.6115485564304461,0.752827140549273,0.0013130252100840337,0.3884514435695538,0.9695102450428991,0.8971684946620105,0.09095249462878968,9.86414389537838,0.8031496062992126,0.8031496062992126
6,0.9615660062067319,0.9782608695652174,0.5905511811023622,0.7364975450081833,0.0013130252100840337,0.4094488188976378,0.9663386516023732,0.8530243560205526,0.09095249462878968,9.37879009808424,0.7821522309711286,0.7821522309711286
7,0.9665791358319408,0.9688715953307393,0.6535433070866141,0.780564263322884,0.0021008403361344537,0.3464566929133858,0.9607484726173934,0.8741380100743888,0.09095249462878968,9.610929459846759,0.7926509186351706,0.7926509186351706
8,0.9720697063738363,0.9680851063829787,0.7165354330708661,0.8235294117647058,0.0023634453781512603,0.28346456692913385,0.976733606828558,0.8957666426071097,0.09095249462878968,9.848730881577907,0.8372703412073491,0.8372703412073491
9,0.9672874880611271,0.9802371541501976,0.6526315789473685,0.7835703001579779,0.0013130252100840337,0.3473684210526316,0.9602250110570544,0.8660060900373626,0.09073543457497613,9.544298697569669,0.7973684210526316,0.7973684210526316
10,0.9637058261700095,0.9789915966386554,0.6131578947368421,0.7540453074433657,0.0013130252100840337,0.3868421052631579,0.9626050420168066,0.8597173769480128,0.09073543457497613,9.474990459627046,0.7842105263157895,0.7842105263157895
