fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc,test_auc_pr,test_prevalence,test_auc_pr_lift,test_p_at_k,test_r_at_k
1,0.9603267211201867,0.9766536964980544,0.6587926509186351,0.786833855799373,0.001969149983590417,0.34120734908136485,0.9527550441163677,0.8730285199978685,0.11114352392065344,7.854965266542502,0.800524934383202,0.800524934383202
2,0.9649941656942824,0.9851301115241635,0.6955380577427821,0.8153846153846154,0.0013127666557269445,0.30446194225721784,0.9711458368327524,0.8973864493075436,0.11114352392065344,8.074122698756588,0.8398950131233596,0.8398950131233596
3,0.956242707117853,0.963855421686747,0.6299212598425197,0.7619047619047619,0.002953724975385625,0.3700787401574803,0.9422287917981371,0.8615012218069495,0.11114352392065344,7.751249838200061,0.7769028871391076,0.7769028871391076
4,0.9638273045507585,0.9849056603773585,0.6850393700787402,0.8080495356037152,0.0013127666557269445,0.31496062992125984,0.9650402659300014,0.8983011438840012,0.11114352392065344,8.082352549171539,0.8083989501312336,0.8083989501312336
5,0.9638167493434491,0.9672727272727273,0.6981627296587927,0.8109756097560976,0.002954694681549573,0.30183727034120733,0.9692363635110285,0.9074539238524015,0.1111759556463379,8.162321777013595,0.8346456692913385,0.8346456692913385
6,0.9571053399474759,0.968,0.6351706036745407,0.7670364500792393,0.0026263952724885093,0.3648293963254593,0.9677732338611975,0.8870615613720692,0.1111759556463379,7.978897561212811,0.8031496062992126,0.8031496062992126
7,0.961190545666764,0.9920634920634921,0.6561679790026247,0.7898894154818326,0.0006565988181221273,0.3438320209973753,0.966652621311371,0.892547972746946,0.1111759556463379,8.028246463526992,0.821522309711286,0.821522309711286
8,0.9652757513860519,0.9712230215827338,0.7086614173228346,0.8194233687405159,0.0026263952724885093,0.29133858267716534,0.9753861611028103,0.9235254233883109,0.1111759556463379,8.30688090800982,0.847769028871391,0.847769028871391
9,0.9652656158785756,0.9851301115241635,0.6973684210526315,0.8166409861325116,0.0013131976362442547,0.3026315789473684,0.9668262086601928,0.9072290952815283,0.11091652072387624,8.179386527459252,0.8315789473684211,0.8315789473684211
10,0.9620548744892002,0.9699248120300752,0.6789473684210526,0.7987616099071208,0.0026263952724885093,0.32105263157894737,0.9630205273525244,0.8904708591540094,0.11091652072387624,8.028297798583253,0.8052631578947368,0.8052631578947368
