fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc,test_auc_pr,test_prevalence,test_auc_pr_lift,test_p_at_k,test_r_at_k
1,0.9041994750656168,0.9301675977653632,0.8740157480314961,0.9012178619756428,0.06561679790026247,0.12598425196850394,0.9559971342164907,0.9625007169739048,0.5,1.9250014339478096,0.8976377952755905,0.8976377952755905
2,0.9330708661417323,0.9583333333333334,0.905511811023622,0.9311740890688259,0.03937007874015748,0.09448818897637795,0.9765157308092394,0.9746525278400148,0.5,1.9493050556800295,0.926509186351706,0.926509186351706
3,0.9304461942257218,0.9739884393063584,0.884514435695538,0.9270976616231087,0.023622047244094488,0.11548556430446194,0.972055166332555,0.9751897414432046,0.5,1.9503794828864092,0.926509186351706,0.926509186351706
4,0.910761154855643,0.956268221574344,0.8608923884514436,0.9060773480662984,0.03937007874015748,0.13910761154855644,0.9600546978871736,0.962214190886365,0.5,1.92442838177273,0.8976377952755905,0.8976377952755905
5,0.926509186351706,0.9629629629629629,0.8871391076115486,0.9234972677595629,0.03412073490813648,0.11286089238845144,0.9619767017311813,0.9698904653758786,0.5,1.9397809307517573,0.916010498687664,0.916010498687664
6,0.9199475065616798,0.9545454545454546,0.8818897637795275,0.9167803547066848,0.04199475065616798,0.11811023622047244,0.9726889453778907,0.9773954197240498,0.5,1.9547908394480995,0.9291338582677166,0.9291338582677166
7,0.9028871391076115,0.9554896142433235,0.8451443569553806,0.8969359331476323,0.03937007874015748,0.15485564304461943,0.9634819269638538,0.9616805436615412,0.5,1.9233610873230824,0.9002624671916011,0.9002624671916011
8,0.9251968503937008,0.9378378378378378,0.910761154855643,0.9241011984021305,0.06036745406824147,0.08923884514435695,0.9784997347772473,0.9743645473265269,0.5,1.9487290946530538,0.931758530183727,0.931758530183727
9,0.9197368421052632,0.9518413597733711,0.8842105263157894,0.9167803547066848,0.04473684210526316,0.11578947368421053,0.9695256232686982,0.9657959838683166,0.5,1.931591967736633,0.9184210526315789,0.9184210526315789
10,0.9092105263157895,0.9669669669669669,0.8473684210526315,0.9032258064516129,0.02894736842105263,0.15263157894736842,0.9678739612188366,0.9743662578490053,0.5,1.9487325156980106,0.9105263157894737,0.9105263157894737
