fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc,test_auc_pr,test_prevalence,test_auc_pr_lift,test_p_at_k,test_r_at_k
1,0.9645576266736676,0.9694656488549618,0.6666666666666666,0.7900466562986003,0.002333722287047841,0.3333333333333333,0.9465383885065709,0.8576731926957202,0.10002625360987136,8.574480816215218,0.7874015748031497,0.7874015748031497
2,0.9687582042530848,0.9746376811594203,0.7060367454068242,0.8188736681887366,0.002042007001166861,0.29396325459317585,0.9657368529050555,0.8907941639254364,0.10002625360987136,8.905603596829364,0.8293963254593176,0.8293963254593176
3,0.9650735294117647,0.9732824427480916,0.6692913385826772,0.7931570762052877,0.0020426028596440037,0.33070866141732286,0.9669189476497814,0.8915864307733969,0.10005252100840337,8.911184064002875,0.8110236220472441,0.8110236220472441
4,0.96875,0.9781021897810219,0.7034120734908137,0.8183206106870229,0.0017508024511234317,0.29658792650918636,0.9592953747720551,0.8742397258464536,0.10005252100840337,8.737808073551955,0.8110236220472441,0.8110236220472441
5,0.9666491596638656,0.9810606060606061,0.6797900262467191,0.8031007751937984,0.0014590020426028597,0.32020997375328086,0.9694658827115533,0.9109894868401414,0.10005252100840337,9.105112771357632,0.8503937007874016,0.8503937007874016
6,0.9627100840336135,0.9917695473251029,0.6325459317585301,0.7724358974358975,0.0005836008170411438,0.3674540682414698,0.9699997013066685,0.8936124431046168,0.10005252100840337,8.93143355207974,0.8110236220472441,0.8110236220472441
7,0.9645483193277311,0.984251968503937,0.6561679790026247,0.7874015748031497,0.0011672016340822876,0.3438320209973753,0.9550466536007481,0.8791135214712824,0.10005252100840337,8.786520445571242,0.8110236220472441,0.8110236220472441
8,0.96875,0.9781021897810219,0.7034120734908137,0.8183206106870229,0.0017508024511234317,0.29658792650918636,0.9745563063735796,0.8979009852257814,0.10005252100840337,8.974296461259254,0.8267716535433071,0.8267716535433071
9,0.9637509850275807,0.97265625,0.6552631578947369,0.7830188679245284,0.0020426028596440037,0.3447368421052632,0.9648818208345492,0.8877771716311699,0.09981612818492251,8.894125506315431,0.8078947368421052,0.8078947368421052
10,0.9613869188337274,0.9678714859437751,0.6342105263157894,0.766295707472178,0.0023344032681645753,0.36578947368421055,0.9459539569671187,0.847473515722512,0.09981612818492251,8.490346511462112,0.7736842105263158,0.7736842105263158
