fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc,test_auc_pr,test_prevalence,test_auc_pr_lift,test_p_at_k,test_r_at_k
1,0.9466083150984683,0.9814126394052045,0.6929133858267716,0.8123076923076923,0.0026260504201680674,0.30708661417322836,0.9556604137718081,0.8987435687730376,0.16673960612691466,5.390102505633572,0.8136482939632546,0.8136482939632546
2,0.9575492341356674,0.961038961038961,0.7769028871391076,0.8592162554426706,0.0063025210084033615,0.2230971128608924,0.9671488674209843,0.9202532881948307,0.16673960612691466,5.519104366207843,0.8503937007874016,0.8503937007874016
3,0.9448577680525164,0.9847908745247148,0.6797900262467191,0.8043478260869565,0.0021008403361344537,0.32020997375328086,0.9718219965151413,0.9281960563185148,0.16673960612691466,5.566740127789518,0.84251968503937,0.84251968503937
4,0.9536105032822757,0.9629629629629629,0.7506561679790026,0.8436578171091446,0.005777310924369748,0.24934383202099739,0.9600033911202276,0.8927400826017874,0.16673960612691466,5.354097345787623,0.8346456692913385,0.8346456692913385
5,0.9527352297592998,0.975609756097561,0.7349081364829396,0.8383233532934131,0.003676470588235294,0.2650918635170604,0.972609811641192,0.9296410473994553,0.16673960612691466,5.575406281647652,0.868766404199475,0.868766404199475
6,0.9452954048140044,0.9848484848484849,0.6824146981627297,0.8062015503875969,0.0021008403361344537,0.31758530183727035,0.9676299653719755,0.9140548138998662,0.16673960612691466,5.4819297893994605,0.8162729658792651,0.8162729658792651
7,0.9448577680525164,0.9847908745247148,0.6797900262467191,0.8043478260869565,0.0021008403361344537,0.32020997375328086,0.9585738823088291,0.9075006412697949,0.16673960612691466,5.442621956171867,0.821522309711286,0.821522309711286
8,0.9588621444201313,0.9864406779661017,0.7637795275590551,0.8609467455621301,0.0021008403361344537,0.23622047244094488,0.9825178102737157,0.9478492929463782,0.16673960612691466,5.684607964258462,0.8661417322834646,0.8661417322834646
9,0.9500875656742557,0.9716312056737588,0.7210526315789474,0.8277945619335347,0.004201680672268907,0.2789473684210526,0.9736855926581158,0.92396852145059,0.16637478108581435,5.553537113139862,0.8394736842105263,0.8394736842105263
10,0.9535901926444834,0.9858156028368794,0.7315789473684211,0.8398791540785498,0.0021008403361344537,0.26842105263157895,0.9654107695709864,0.9189473077471779,0.16637478108581435,5.5233569760383014,0.8263157894736842,0.8263157894736842
