fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc,test_auc_pr,test_prevalence,test_auc_pr_lift,test_p_at_k,test_r_at_k
1,0.9519879969992499,0.9846743295019157,0.6745406824146981,0.8006230529595015,0.00175054704595186,0.32545931758530183,0.959531809070912,0.8870274500641607,0.14291072768192048,6.2068639944122115,0.8110236220472441,0.8110236220472441
2,0.9568642160540135,0.9618055555555556,0.7270341207349081,0.828101644245142,0.004814004376367615,0.27296587926509186,0.9743551749685556,0.9233076040370183,0.14291072768192048,6.460729848720973,0.8582677165354331,0.8582677165354331
3,0.9508627156789198,0.9664179104477612,0.6797900262467191,0.7981510015408321,0.003938730853391685,0.32020997375328086,0.9674299465302066,0.9113026565501541,0.14291072768192048,6.376726725361445,0.8136482939632546,0.8136482939632546
4,0.9613653413353338,0.9929078014184397,0.7349081364829396,0.8446455505279035,0.00087527352297593,0.2650918635170604,0.9669222419407639,0.9121615951798678,0.14291072768192048,6.382737041337343,0.821522309711286,0.821522309711286
5,0.9519879969992499,0.96,0.6929133858267716,0.8048780487804879,0.004814004376367615,0.30708661417322836,0.9635377361199653,0.8777648603982569,0.14291072768192048,6.14205017800985,0.8372703412073491,0.8372703412073491
6,0.9508627156789198,0.98828125,0.6640419947506562,0.7943485086342229,0.001312910284463895,0.3359580052493438,0.9734626716518204,0.9188151240697366,0.14291072768192048,6.429294280236005,0.8241469816272966,0.8241469816272966
7,0.9564891222805701,0.9715302491103203,0.7165354330708661,0.824773413897281,0.00350109409190372,0.28346456692913385,0.9714433398232223,0.9126700017649896,0.14291072768192048,6.386294553032709,0.8451443569553806,0.8451443569553806
8,0.9617404351087772,0.979381443298969,0.7480314960629921,0.8482142857142857,0.00262582056892779,0.25196850393700787,0.9762883578283568,0.9343308967809584,0.14291072768192048,6.537863965401667,0.8582677165354331,0.8582677165354331
9,0.9545795795795796,0.9709090909090909,0.7026315789473684,0.815267175572519,0.0035026269702276708,0.29736842105263156,0.9636395059452484,0.9033827564741724,0.14264264264264265,6.333188587492619,0.8315789473684211,0.8315789473684211
10,0.9557057057057057,0.9924812030075187,0.6947368421052632,0.8173374613003096,0.0008756567425569177,0.30526315789473685,0.9575917135219836,0.9051877575271209,0.14264264264264265,6.345842594874342,0.8236842105263158,0.8236842105263158
