fold,test_auc,test_auc_pr,test_prevalence,test_p_at_k,f75_precision,f75_recall,f75_f1,cal_precision,cal_recall,cal_f1,cal_threshold
1,0.71900826446281,0.7306062624244443,0.5,0.6363636363636364,0.5555555555555556,0.45454545454545453,0.5,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5600000000000002
2,0.7107438016528925,0.768349075167257,0.5,0.6363636363636364,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.5600000000000002
3,0.8595041322314049,0.8551046176046175,0.5,0.7272727272727273,0.75,0.8181818181818182,0.782608695652174,0.6666666666666666,0.9090909090909091,0.7692307692307693,0.5600000000000002
4,0.9199999999999999,0.9123595848595848,0.5,0.9,0.8571428571428571,0.6,0.7058823529411765,0.6666666666666666,1.0,0.8,0.4100000000000001
5,0.7300000000000001,0.8291791979949874,0.5,0.7,0.8571428571428571,0.6,0.7058823529411765,0.5384615384615384,0.7,0.6086956521739131,0.5500000000000002
6,0.8300000000000001,0.8781366294524189,0.5,0.7,0.75,0.9,0.8181818181818182,0.6923076923076923,0.9,0.782608695652174,0.14
7,0.7499999999999999,0.7070210783368678,0.5,0.7,0.6363636363636364,0.7,0.6666666666666666,0.6666666666666666,0.8,0.7272727272727273,0.6200000000000001
8,0.76,0.7927353640511534,0.5,0.7,0.6363636363636364,0.7,0.6666666666666666,0.6428571428571429,0.9,0.75,0.6000000000000002
9,0.6500000000000001,0.7515747702589808,0.5,0.7,0.7142857142857143,0.5,0.5882352941176471,0.7777777777777778,0.7,0.7368421052631579,0.5800000000000002
10,0.81,0.8323841354723707,0.5,0.7,0.7777777777777778,0.7,0.7368421052631579,0.6,0.9,0.72,0.5100000000000001
