fold,test_auc,test_auc_pr,test_prevalence,test_p_at_k,f75_precision,f75_recall,f75_f1,cal_precision,cal_recall,cal_f1,cal_threshold
1,0.5909090909090908,0.23230282216547354,0.05069124423963134,0.2727272727272727,0.17647058823529413,0.2727272727272727,0.21428571428571427,0.17391304347826086,0.36363636363636365,0.23529411764705882,0.6000000000000002
2,0.8075904677846426,0.2497896682931619,0.05069124423963134,0.18181818181818182,0.2222222222222222,0.36363636363636365,0.27586206896551724,0.16666666666666666,0.18181818181818182,0.17391304347826086,0.8600000000000002
3,0.8565754633715799,0.447586838214305,0.05069124423963134,0.36363636363636365,0.4444444444444444,0.36363636363636365,0.4,0.3125,0.45454545454545453,0.37037037037037035,0.6200000000000001
4,0.7638349514563108,0.24327529227409564,0.046296296296296294,0.3,0.2857142857142857,0.4,0.3333333333333333,0.3076923076923077,0.4,0.34782608695652173,0.8100000000000002
5,0.7004854368932039,0.20493547459624364,0.046296296296296294,0.3,0.1875,0.3,0.23076923076923078,0.23076923076923078,0.3,0.2608695652173913,0.8400000000000002
6,0.5262135922330096,0.25189904780023636,0.046296296296296294,0.2,0.5,0.2,0.2857142857142857,0.2,0.2,0.2,0.6000000000000002
7,0.7368932038834952,0.2651070543159793,0.046296296296296294,0.2,0.19230769230769232,0.5,0.2777777777777778,0.20689655172413793,0.6,0.3076923076923077,0.6700000000000002
8,0.8808252427184465,0.36783647996354607,0.046296296296296294,0.4,0.29411764705882354,0.5,0.37037037037037035,0.29411764705882354,0.5,0.37037037037037035,0.7600000000000002
9,0.6242718446601941,0.17062596061874105,0.046296296296296294,0.1,0.1111111111111111,0.2,0.14285714285714285,0.0625,0.2,0.09523809523809523,0.6500000000000001
10,0.7339805825242719,0.24016291974409903,0.046296296296296294,0.2,0.3333333333333333,0.1,0.15384615384615385,0.25,0.2,0.2222222222222222,0.6000000000000002
