fold,test_auc,test_auc_pr,test_prevalence,test_p_at_k,f75_precision,f75_recall,f75_f1,cal_precision,cal_recall,cal_f1,cal_threshold
1,0.5927625772285967,0.13254520519972407,0.02091254752851711,0.18181818181818182,0.09523809523809523,0.18181818181818182,0.125,0.1111111111111111,0.18181818181818182,0.13793103448275862,0.7700000000000002
2,0.7426301853486319,0.05959338191869868,0.02091254752851711,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.06060606060606061,0.045454545454545456,0.09090909090909091,0.06060606060606061,0.7600000000000002
3,0.8243601059135041,0.32507254898932075,0.02091254752851711,0.2727272727272727,0.3333333333333333,0.5454545454545454,0.41379310344827586,0.2727272727272727,0.5454545454545454,0.36363636363636365,0.6800000000000002
4,0.6644660194174757,0.15341735724922653,0.01904761904761905,0.2,0.16,0.4,0.22857142857142856,0.2222222222222222,0.4,0.2857142857142857,0.8900000000000002
5,0.74873786407767,0.1377103487394359,0.01904761904761905,0.3,0.2,0.3,0.24,0.25,0.3,0.2727272727272727,0.7900000000000001
6,0.4372815533980583,0.1483644758580792,0.01904761904761905,0.2,0.2,0.1,0.13333333333333333,0.125,0.2,0.15384615384615385,0.6100000000000001
7,0.7598058252427184,0.08738742701349417,0.01904761904761905,0.1,0.11538461538461539,0.3,0.16666666666666666,0.14285714285714285,0.3,0.1935483870967742,0.8500000000000002
8,0.6994174757281554,0.24460661974148862,0.01904761904761905,0.2,0.6666666666666666,0.2,0.3076923076923077,0.2857142857142857,0.4,0.3333333333333333,0.5600000000000002
9,0.7087378640776699,0.16398763925848345,0.01904761904761905,0.2,0.10526315789473684,0.2,0.13793103448275862,0.18181818181818182,0.2,0.19047619047619047,0.8000000000000002
10,0.6996116504854369,0.1554213394384629,0.01904761904761905,0.1,0.14285714285714285,0.2,0.16666666666666666,0.1111111111111111,0.1,0.10526315789473684,0.8200000000000002
