fold,test_auc,test_auc_pr,test_prevalence,test_p_at_k,f75_precision,f75_recall,f75_f1,cal_precision,cal_recall,cal_f1,cal_threshold
1,0.7520661157024793,0.7477845683728036,0.5,0.6363636363636364,0.875,0.6363636363636364,0.7368421052631579,0.875,0.6363636363636364,0.7368421052631579,0.6800000000000002
2,0.628099173553719,0.67005772005772,0.5,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.05
3,0.7933884297520661,0.8688131313131313,0.5,0.7272727272727273,0.8,0.7272727272727273,0.7619047619047619,0.5555555555555556,0.9090909090909091,0.6896551724137931,0.5600000000000002
4,0.76,0.833266499582289,0.5,0.7,0.7777777777777778,0.7,0.7368421052631579,0.7777777777777778,0.7,0.7368421052631579,0.7400000000000002
5,0.66,0.706017316017316,0.5,0.6,0.6363636363636364,0.7,0.6666666666666666,0.6363636363636364,0.7,0.6666666666666666,0.05
6,0.8300000000000001,0.8536247086247085,0.5,0.7,0.75,0.6,0.6666666666666666,0.7272727272727273,0.8,0.7619047619047619,0.5800000000000002
7,0.6599999999999999,0.7149081035923142,0.5,0.7,0.75,0.6,0.6666666666666666,0.7777777777777778,0.7,0.7368421052631579,0.4800000000000001
8,0.88,0.9288888888888888,0.5,0.9,0.8181818181818182,0.9,0.8571428571428571,0.75,0.9,0.8181818181818182,0.6600000000000001
9,0.48,0.5794855196403184,0.5,0.5,0.5,0.3,0.375,0.5,0.4,0.4444444444444444,0.6600000000000001
10,0.6699999999999999,0.7650595238095237,0.5,0.6,0.625,0.5,0.5555555555555556,0.5384615384615384,0.7,0.6086956521739131,0.5700000000000002
