fold,test_auc,test_auc_pr,test_prevalence,test_p_at_k,f75_precision,f75_recall,f75_f1,cal_precision,cal_recall,cal_f1,cal_threshold
1,0.7062937062937062,0.3865175822395074,0.1746031746031746,0.2727272727272727,0.2,0.2727272727272727,0.23076923076923078,0.29411764705882354,0.45454545454545453,0.35714285714285715,0.5900000000000002
2,0.6625874125874126,0.38238359903863917,0.1746031746031746,0.45454545454545453,0.4,0.36363636363636365,0.38095238095238093,0.4166666666666667,0.45454545454545453,0.43478260869565216,0.5800000000000002
3,0.8426573426573427,0.5615651579555323,0.1746031746031746,0.5454545454545454,0.5,0.6363636363636364,0.56,0.5294117647058824,0.8181818181818182,0.6428571428571429,0.5700000000000002
4,0.5596153846153846,0.4340171808802773,0.16129032258064516,0.4,0.6,0.3,0.4,0.36363636363636365,0.4,0.38095238095238093,0.5200000000000001
5,0.8057692307692308,0.631652841781874,0.16129032258064516,0.5,0.3684210526315789,0.7,0.4827586206896552,0.36,0.9,0.5142857142857142,0.35000000000000003
6,0.7529411764705882,0.6247108269929667,0.16393442622950818,0.5,0.625,0.5,0.5555555555555556,0.5454545454545454,0.6,0.5714285714285714,0.5800000000000002
7,0.7372549019607844,0.37456421029950443,0.16393442622950818,0.5,0.5,0.4,0.4444444444444444,0.42857142857142855,0.6,0.5,0.6100000000000001
8,0.7431372549019607,0.4530348616170227,0.16393442622950818,0.3,0.26666666666666666,0.4,0.32,0.3333333333333333,0.6,0.42857142857142855,0.5100000000000001
9,0.6225490196078433,0.2913118562249507,0.16393442622950818,0.3,0.2727272727272727,0.3,0.2857142857142857,0.21428571428571427,0.3,0.25,0.4600000000000001
10,0.7431372549019607,0.47712125919022463,0.16393442622950818,0.5,0.4,0.2,0.26666666666666666,0.42857142857142855,0.6,0.5,0.5400000000000001
