fold,test_auc,test_auc_pr,test_prevalence,test_p_at_k,f75_precision,f75_recall,f75_f1,cal_precision,cal_recall,cal_f1,cal_threshold
1,0.7316017316017316,0.6192131797147471,0.34375,0.7272727272727273,0.7,0.6363636363636364,0.6666666666666666,0.47368421052631576,0.8181818181818182,0.6,0.5800000000000002
2,0.6147186147186148,0.4670787595042881,0.34375,0.5454545454545454,0.6666666666666666,0.18181818181818182,0.2857142857142857,0.5,0.5454545454545454,0.5217391304347826,0.5500000000000002
3,0.8831168831168832,0.8327541986632896,0.34375,0.8181818181818182,0.75,0.8181818181818182,0.782608695652174,0.7142857142857143,0.9090909090909091,0.8,0.7100000000000002
4,0.719047619047619,0.7826370468611847,0.3225806451612903,0.7,1.0,0.5,0.6666666666666666,1.0,0.6,0.75,0.6800000000000002
5,0.819047619047619,0.8028887830435818,0.3225806451612903,0.7,0.5833333333333334,0.7,0.6363636363636364,0.5384615384615384,0.7,0.6086956521739131,0.43000000000000005
6,0.6523809523809523,0.6131678981465509,0.3225806451612903,0.5,0.42857142857142855,0.6,0.5,0.42857142857142855,0.6,0.5,0.6700000000000002
7,0.745,0.6204617604617604,0.3333333333333333,0.6,0.5833333333333334,0.7,0.6363636363636364,0.5,0.7,0.5833333333333334,0.5900000000000002
8,0.8650000000000001,0.8176678876678877,0.3333333333333333,0.8,0.75,0.6,0.6666666666666666,0.7272727272727273,0.8,0.7619047619047619,0.6100000000000001
9,0.52,0.48282112624217877,0.3333333333333333,0.3,0.3,0.3,0.3,0.3076923076923077,0.4,0.34782608695652173,0.6100000000000001
10,0.8400000000000001,0.8328671328671328,0.3333333333333333,0.6,1.0,0.4,0.5714285714285714,0.6666666666666666,0.8,0.7272727272727273,0.4600000000000001
