fold,test_auc,test_auc_pr,test_prevalence,test_p_at_k,f75_precision,f75_recall,f75_f1,cal_precision,cal_recall,cal_f1,cal_threshold
1,0.5560458958517212,0.14454104753798727,0.05069124423963134,0.18181818181818182,0.08333333333333333,0.18181818181818182,0.11428571428571428,0.07142857142857142,0.18181818181818182,0.10256410256410256,0.6200000000000001
2,0.6500441306266549,0.13682602950474515,0.05069124423963134,0.18181818181818182,0.09523809523809523,0.18181818181818182,0.125,0.09523809523809523,0.18181818181818182,0.125,0.7400000000000002
3,0.8914386584289496,0.4468133939425806,0.05069124423963134,0.36363636363636365,0.25925925925925924,0.6363636363636364,0.3684210526315789,0.25,0.7272727272727273,0.37209302325581395,0.6400000000000001
4,0.5776699029126213,0.22919321023665662,0.046296296296296294,0.3,0.2,0.3,0.24,0.21428571428571427,0.3,0.25,0.7900000000000001
5,0.8354368932038835,0.23059199675686282,0.046296296296296294,0.3,0.3,0.6,0.4,0.3,0.6,0.4,0.6500000000000001
6,0.8257281553398059,0.36712156866568635,0.046296296296296294,0.4,0.23809523809523808,0.5,0.3225806451612903,0.23809523809523808,0.5,0.3225806451612903,0.7300000000000002
7,0.7912621359223301,0.20266937317352277,0.046296296296296294,0.1,0.06666666666666667,0.1,0.08,0.07692307692307693,0.1,0.08695652173913043,0.8100000000000002
8,0.7815533980582524,0.27385272074339556,0.046296296296296294,0.2,0.25,0.3,0.2727272727272727,0.2,0.2,0.2,0.7800000000000001
9,0.6271844660194175,0.2154142598125328,0.046296296296296294,0.3,0.2,0.1,0.13333333333333333,0.14285714285714285,0.3,0.1935483870967742,0.5400000000000001
10,0.849514563106796,0.19143845805331117,0.046296296296296294,0.1,0.2608695652173913,0.6,0.36363636363636365,0.23333333333333334,0.7,0.35,0.6100000000000001
