fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc,test_auc_pr,test_prevalence,test_auc_pr_lift,test_p_at_k,test_r_at_k
1,0.946504758779127,0.9698275862068966,0.5905511811023622,0.734094616639478,0.002625656414103526,0.4094488188976378,0.931307137808074,0.8433805460500383,0.12504102395799147,6.74483077116658,0.7716535433070866,0.7716535433070866
2,0.9543813587134887,0.9763779527559056,0.6509186351706037,0.7811023622047244,0.002250562640660165,0.34908136482939633,0.9644911227806953,0.882029421888223,0.12504102395799147,7.053920337253059,0.8267716535433071,0.8267716535433071
3,0.95274040039383,0.979757085020243,0.6351706036745407,0.7707006369426752,0.0018754688672168042,0.3648293963254593,0.9567096498534082,0.8735222343919947,0.12504102395799147,6.985885165859338,0.8083989501312336,0.8083989501312336
4,0.9537249753856252,0.9511278195488722,0.6640419947506562,0.7820710973724884,0.004876219054763691,0.3359580052493438,0.9439269266135432,0.8489858481104189,0.12504102395799147,6.789658475570725,0.7874015748031497,0.7874015748031497
5,0.9573350836888743,0.9845559845559846,0.6692913385826772,0.796875,0.0015003750937734434,0.33070866141732286,0.9546136534133532,0.8915198693630577,0.12504102395799147,7.129819007740779,0.8031496062992126,0.8031496062992126
6,0.9494584837545126,0.9748953974895398,0.6115485564304461,0.7516129032258064,0.002250562640660165,0.3884514435695538,0.9631738643322247,0.887548025947162,0.12504102395799147,7.0980546851994815,0.8083989501312336,0.8083989501312336
7,0.9576493762311228,0.9736842105263158,0.6797900262467191,0.8006182380216383,0.002626641651031895,0.32020997375328086,0.9677495284946793,0.8942455266849022,0.12508207485226527,7.149270011239402,0.8136482939632546,0.8136482939632546
8,0.9602757715036113,0.9887218045112782,0.6902887139107612,0.8129829984544049,0.001125703564727955,0.30971128608923887,0.9690032648357979,0.9077168751151251,0.12508207485226527,7.256970082941393,0.8372703412073491,0.8372703412073491
9,0.955008210180624,0.9802371541501976,0.6526315789473685,0.7835703001579779,0.001876172607879925,0.3473684210526316,0.9505796385899081,0.8670465486620861,0.12479474548440066,6.947780896515926,0.7763157894736842,0.7763157894736842
10,0.954351395730706,0.9839357429718876,0.6447368421052632,0.7790143084260731,0.00150093808630394,0.35526315789473684,0.9382551594746715,0.8623153763345788,0.12479474548440066,6.909869265628401,0.7868421052631579,0.7868421052631579
