fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc,test_auc_pr,test_prevalence,test_auc_pr_lift,test_p_at_k,test_r_at_k
1,0.884514435695538,0.9771986970684039,0.7874015748031497,0.872093023255814,0.01837270341207349,0.2125984251968504,0.9439863324171093,0.9518398953587265,0.5,1.903679790717453,0.8818897637795275,0.8818897637795275
2,0.9133858267716536,0.9758308157099698,0.847769028871391,0.9073033707865169,0.02099737532808399,0.15223097112860892,0.9650525967718603,0.9735259067584016,0.5,1.9470518135168031,0.9133858267716536,0.9133858267716536
3,0.8989501312335958,0.9606060606060606,0.8320209973753281,0.8917018284106891,0.03412073490813648,0.1679790026246719,0.95331046217648,0.9584690236409341,0.5,1.9169380472818682,0.8871391076115486,0.8871391076115486
4,0.89501312335958,0.9602446483180428,0.8241469816272966,0.8870056497175142,0.03412073490813648,0.17585301837270342,0.9513299026598054,0.9557193679655901,0.5,1.9114387359311802,0.884514435695538,0.884514435695538
5,0.9251968503937008,0.9850299401197605,0.863517060367454,0.9202797202797203,0.013123359580052493,0.13648293963254593,0.9753377284532347,0.9816283593492713,0.5,1.9632567186985426,0.9291338582677166,0.9291338582677166
6,0.9068241469816273,0.9696969696969697,0.8398950131233596,0.90014064697609,0.026246719160104987,0.16010498687664043,0.9620352574038482,0.9699189663399823,0.5,1.9398379326799646,0.9028871391076115,0.9028871391076115
7,0.9041994750656168,0.963855421686747,0.8398950131233596,0.8976157082748948,0.031496062992125984,0.16010498687664043,0.9598101418425059,0.9613198748625136,0.5,1.9226397497250272,0.9002624671916011,0.9002624671916011
8,0.9186351706036745,0.9492957746478873,0.884514435695538,0.9157608695652174,0.047244094488188976,0.11548556430446194,0.973009279351892,0.977562638754363,0.5,1.955125277508726,0.905511811023622,0.905511811023622
9,0.8907894736842106,0.9513677811550152,0.8236842105263158,0.8829337094499294,0.042105263157894736,0.1763157894736842,0.940713296398892,0.9496454865856709,0.5,1.8992909731713419,0.8842105263157894,0.8842105263157894
10,0.8907894736842106,0.9744408945686901,0.8026315789473685,0.8802308802308803,0.021052631578947368,0.19736842105263158,0.9503324099722992,0.9595009567705568,0.5,1.9190019135411136,0.8631578947368421,0.8631578947368421
