fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc,test_auc_pr,test_prevalence,test_auc_pr_lift,test_p_at_k,test_r_at_k
1,0.9533255542590432,0.982532751091703,0.5905511811023622,0.7377049180327869,0.0013127666557269445,0.4094488188976378,0.932203440930238,0.838639379580673,0.11114352392065344,7.545553262998812,0.7690288713910761,0.7690288713910761
2,0.9568261376896149,0.9794238683127572,0.6246719160104987,0.7628205128205128,0.0016409583196586807,0.3753280839895013,0.9607126152224079,0.8805241910210224,0.11114352392065344,7.9224066320736615,0.8031496062992126,0.8031496062992126
3,0.955950991831972,0.9457364341085271,0.6404199475065617,0.7636932707355243,0.004594683295044306,0.35958005249343833,0.9427671639502562,0.8467358746277517,0.11114352392065344,7.6184004677793515,0.7690288713910761,0.7690288713910761
4,0.9556592765460911,0.9598393574297188,0.6272965879265092,0.7587301587301587,0.0032819166393173614,0.37270341207349084,0.9502139275583661,0.8639338413510665,0.11114352392065344,7.773137029268914,0.7926509186351706,0.7926509186351706
5,0.9603151444412023,0.9880478087649402,0.6509186351706037,0.7848101265822784,0.000984898227183191,0.34908136482939633,0.9533599419573539,0.8855541695992658,0.1111759556463379,7.965338948075286,0.8162729658792651,0.8162729658792651
6,0.951561132185585,0.973568281938326,0.5800524934383202,0.7269736842105263,0.001969796454366382,0.4199475065616798,0.9482139995140136,0.8350122047254004,0.1111759556463379,7.510726576362066,0.7795275590551181,0.7795275590551181
7,0.959731543624161,0.9691119691119691,0.6587926509186351,0.784375,0.0026263952724885093,0.34120734908136485,0.9586566780925201,0.8637911754110414,0.1111759556463379,7.769586241820575,0.8031496062992126,0.8031496062992126
8,0.9617741464838051,0.98828125,0.6640419947506562,0.7943485086342229,0.000984898227183191,0.3359580052493438,0.973257815852467,0.9018808907382891,0.1111759556463379,8.112193733753587,0.8293963254593176,0.8293963254593176
9,0.9547577349678926,0.9707112970711297,0.6105263157894737,0.7495961227786753,0.002298095863427446,0.3894736842105263,0.947885060648996,0.8517894273138098,0.11091652072387624,7.679554152571348,0.7868421052631579,0.7868421052631579
10,0.9524226503210741,0.9428571428571428,0.6078947368421053,0.7392,0.004596191726854892,0.39210526315789473,0.9141946297128245,0.7982191272515499,0.11091652072387624,7.19657560516792,0.75,0.75
