fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc,test_auc_pr,test_prevalence,test_auc_pr_lift,test_p_at_k,test_r_at_k
1,0.8989501312335958,0.9606060606060606,0.8320209973753281,0.8917018284106891,0.03412073490813648,0.1679790026246719,0.9523253490951425,0.9589769749818526,0.5,1.9179539499637053,0.8923884514435696,0.8923884514435696
2,0.8805774278215223,0.9707792207792207,0.7847769028871391,0.8679245283018868,0.023622047244094488,0.2152230971128609,0.9435798871597743,0.9524691935393066,0.5,1.9049383870786132,0.8871391076115486,0.8871391076115486
3,0.889763779527559,0.9714285714285714,0.8031496062992126,0.8793103448275862,0.023622047244094488,0.1968503937007874,0.9629928148745186,0.9697052599670404,0.5,1.9394105199340808,0.8923884514435696,0.8923884514435696
4,0.8910761154855643,0.9715189873417721,0.8057742782152231,0.8809182209469153,0.023622047244094488,0.1942257217847769,0.9678908246705382,0.973975737331061,0.5,1.947951474662122,0.9028871391076115,0.9028871391076115
5,0.9015748031496063,0.978125,0.821522309711286,0.8930099857346647,0.01837270341207349,0.1784776902887139,0.9613739227478454,0.9706408733659275,0.5,1.941281746731855,0.89501312335958,0.89501312335958
6,0.9094488188976378,0.9508670520231214,0.863517060367454,0.9050894085281981,0.04461942257217848,0.13648293963254593,0.9642741507705237,0.9698700421726063,0.5,1.9397400843452126,0.9081364829396326,0.9081364829396326
7,0.9015748031496063,0.978125,0.821522309711286,0.8930099857346647,0.01837270341207349,0.1784776902887139,0.9682766032198731,0.9736563371233293,0.5,1.9473126742466587,0.9133858267716536,0.9133858267716536
8,0.9028871391076115,0.9694189602446484,0.8320209973753281,0.8954802259887006,0.026246719160104987,0.1679790026246719,0.9681767141312061,0.9688300751109737,0.5,1.9376601502219475,0.905511811023622,0.905511811023622
9,0.8973684210526316,0.9660493827160493,0.8236842105263158,0.8892045454545454,0.02894736842105263,0.1763157894736842,0.9562396121883655,0.9626449078140757,0.5,1.9252898156281515,0.8868421052631579,0.8868421052631579
10,0.8868421052631579,0.959375,0.8078947368421052,0.8771428571428571,0.034210526315789476,0.19210526315789472,0.9521606648199445,0.9598517108132513,0.5,1.9197034216265025,0.8921052631578947,0.8921052631578947
