fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc,test_auc_pr,test_prevalence,test_auc_pr_lift,test_p_at_k,test_r_at_k
1,0.9244094488188976,0.9759036144578314,0.6377952755905512,0.7714285714285715,0.003937007874015748,0.36220472440944884,0.933650395078568,0.8799217523582257,0.2,4.399608761791128,0.800524934383202,0.800524934383202
2,0.9349081364829396,0.9885931558935361,0.6824146981627297,0.8074534161490683,0.001968503937007874,0.31758530183727035,0.9653901530025282,0.9238566060212915,0.2,4.619283030106457,0.8346456692913385,0.8346456692913385
3,0.9296218487394958,0.984313725490196,0.6587926509186351,0.789308176100629,0.0026263952724885093,0.34120734908136485,0.9583818027342774,0.9144991254945207,0.20010504201680673,4.570095367300702,0.8320209973753281,0.8320209973753281
4,0.9327731092436975,0.96,0.6929133858267716,0.8048780487804879,0.007222586999343401,0.30708661417322836,0.940654496323219,0.8862917536774009,0.20010504201680673,4.429132543311735,0.7900262467191601,0.7900262467191601
5,0.9401260504201681,0.9619377162629758,0.7296587926509186,0.8298507462686567,0.007222586999343401,0.27034120734908135,0.9630305568337116,0.9302931717335321,0.20010504201680673,4.649024144306155,0.8556430446194225,0.8556430446194225
6,0.9217436974789915,0.9754098360655737,0.6246719160104987,0.7616,0.003939592908732764,0.3753280839895013,0.9594468370376881,0.9034675928093303,0.20010504201680673,4.514966658028779,0.8320209973753281,0.8320209973753281
7,0.9311974789915967,0.9734848484848485,0.6745406824146981,0.7968992248062016,0.004596191726854892,0.32545931758530183,0.9434713224865275,0.8730790269752976,0.20010504201680673,4.363103588873928,0.7952755905511811,0.7952755905511811
8,0.946953781512605,0.9242424242424242,0.800524934383202,0.8579465541490858,0.016414970453053186,0.1994750656167979,0.9673268845333926,0.9278240207566391,0.20010504201680673,4.636684870132915,0.8556430446194225,0.8556430446194225
9,0.9416710457172885,0.9855595667870036,0.718421052631579,0.8310502283105022,0.0026263952724885093,0.28157894736842104,0.9535560009676193,0.9052454635713327,0.19968470835522859,4.533373992569069,0.8342105263157895,0.8342105263157895
10,0.928008407777194,0.9619771863117871,0.6657894736842105,0.7869362363919129,0.006565988181221274,0.33421052631578946,0.9365708262777759,0.8797339005860071,0.19968470835522859,4.405614770566241,0.7947368421052632,0.7947368421052632
