fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc
1,0.8517060367454068,0.7002583979328165,0.7112860892388452,0.7057291666666666,0.10148731408573929,0.2887139107611549,0.8429284265975939
2,0.868766404199475,0.7578347578347578,0.6981627296587927,0.726775956284153,0.07436570428696412,0.30183727034120733,0.895532087360471
3,0.8694225721784777,0.8074324324324325,0.6272965879265092,0.7060561299852289,0.049868766404199474,0.37270341207349084,0.8587131989078792
4,0.865485564304462,0.7634730538922155,0.6692913385826772,0.7132867132867133,0.06911636045494313,0.33070866141732286,0.878433830941736
5,0.8601444517399869,0.7625,0.6404199475065617,0.6961483594864479,0.06654991243432574,0.35958005249343833,0.8584906527664778
6,0.8640840446487197,0.7788461538461539,0.6377952755905512,0.7012987012987013,0.06042031523642732,0.36220472440944884,0.8466980156377125
7,0.8562048588312541,0.7425149700598802,0.6509186351706037,0.6937062937062937,0.07530647985989491,0.34908136482939633,0.8379345532771626
8,0.8706500328299409,0.7555555555555555,0.7139107611548556,0.7341430499325237,0.07705779334500876,0.28608923884514437,0.873978975044932
9,0.866622864651774,0.7565217391304347,0.6868421052631579,0.72,0.07355516637478109,0.3131578947368421,0.8732337081758688
10,0.8423127463863338,0.6822916666666666,0.6894736842105263,0.6858638743455497,0.10683012259194395,0.3105263157894737,0.8563012720066366
