fold,test_accuracy,test_precision,test_recall,test_f_1,test_FPR,test_FNR,test_auc
1,0.583989501312336,0.25626204238921,0.34908136482939633,0.29555555555555557,0.33770778652668415,0.6509186351706037,0.544630904076623
2,0.6692913385826772,0.3993453355155483,0.6404199475065617,0.49193548387096775,0.321084864391951,0.35958005249343833,0.6741732742724744
3,0.6430446194225722,0.3036144578313253,0.33070866141732286,0.3165829145728643,0.25284339457567806,0.6692913385826772,0.5909507374570304
4,0.652230971128609,0.34949494949494947,0.4540682414698163,0.3949771689497717,0.28171478565179353,0.5459317585301837,0.6284654050789583
5,0.6323046618516087,0.3146997929606625,0.3989501312335958,0.35185185185185186,0.28984238178633975,0.6010498687664042,0.5947295117007046
6,0.6611950098489823,0.3441108545034642,0.3910761154855643,0.36609336609336607,0.2486865148861646,0.6089238845144357,0.6189399267298242
7,0.6362442547603414,0.34797891036906853,0.5196850393700787,0.4168421052631579,0.3248686514886165,0.48031496062992124,0.6550900708339653
8,0.6730137885751806,0.39718804920913886,0.5931758530183727,0.47578947368421054,0.30035026269702275,0.4068241469816273,0.6416219645048747
9,0.6865965834428384,0.3900226757369615,0.45263157894736844,0.4190012180267966,0.23555166374781086,0.5473684210526316,0.6606553599410083
10,0.6235216819973719,0.31894934333958724,0.4473684210526316,0.3723986856516977,0.3178633975481611,0.5526315789473685,0.6202495621716286
