tag,backbone,ratio,seed,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f_1_mean,test_f_1_std,test_FPR_mean,test_FPR_std,test_FNR_mean,test_FNR_std,test_auc_mean,test_auc_std,test_auc_pr_mean,test_auc_pr_std,test_prevalence_mean,test_prevalence_std,test_auc_pr_lift_mean,test_auc_pr_lift_std,test_p_at_k_mean,test_p_at_k_std,test_r_at_k_mean,test_r_at_k_std
exp2_tc_42d,sage,1,0,0.8960063544688494,0.00872985665484058,0.9676293235139444,0.008588991071410314,0.8195883409310678,0.021272746838147633,0.8872791931070708,0.010825506058832625,0.027575631993369255,0.008146430358876945,0.18041165906893217,0.021272746838147637,0.9597290543677731,0.00836740267428908,0.9660621112219424,0.007164032244769537,0.5,0.0,1.9321242224438848,0.014328064489539074,0.897579776212184,0.00923233094657133,0.897579776212184,0.00923233094657133
exp2_tc_42d,sage,1,1,0.902569415665147,0.010827544765468457,0.9637215775672239,0.01256033562115836,0.8369097941704655,0.02473973502236434,0.8955755024298607,0.012785707641272761,0.03177096284017129,0.012206194198720042,0.16309020582953446,0.02473973502236434,0.9609795662790772,0.007402846965096125,0.9665956263295374,0.005550964940773714,0.5,0.0,1.9331912526590749,0.011101929881547429,0.9017792512778009,0.014011787815872003,0.9017792512778009,0.014011787815872003
exp2_tc_42d,sage,1,2,0.902310056637657,0.014596543159015618,0.9659614922368697,0.01493689430147792,0.8343003177234424,0.030573023476561115,0.8949463654004086,0.017561906528758747,0.029680204448128196,0.013576646423482755,0.16569968227655757,0.030573023476561108,0.9577065460638309,0.007672837702756489,0.9628144491582912,0.007469360115765904,0.5,0.0,1.9256288983165823,0.014938720231531808,0.9004676060229313,0.011689384653297486,0.9004676060229313,0.011689384653297486
exp2_tc_42d,sage,1,3,0.8986292996270203,0.017500498012824096,0.9615677000548993,0.011144503355437,0.830605055946954,0.03604473269054599,0.8908751412983194,0.020940533390894037,0.03334645669291338,0.010564271508544856,0.169394944053046,0.036044732690545984,0.9575092207628245,0.011747573324458124,0.962200148207051,0.009120531223365713,0.5,0.0,1.924400296414102,0.018241062446731425,0.8959939218124049,0.02271466195939653,0.8959939218124049,0.02271466195939653
exp2_tc_42d,sage,1,4,0.9028298107473407,0.013253506666606353,0.9667567003577547,0.01165873802258108,0.8345475894460561,0.027971930463986588,0.8955065406947267,0.015689319310413438,0.0288879679513745,0.010867555906493348,0.16545241055394394,0.027971930463986622,0.9574917407447927,0.011609756231449235,0.963913047638601,0.011059992493749544,0.5,0.0,1.927826095277202,0.022119984987499088,0.8952092830501449,0.018788504166299774,0.8952092830501449,0.018788504166299774
exp2_tc_42d,sage,2,0,0.9186812654832466,0.008895173711030187,0.967677585705971,0.008016389144602875,0.7823034949578671,0.029214064336624213,0.8648395403165431,0.017561178350883506,0.013129740188521113,0.0035537626072228664,0.2176965050421329,0.029214064336624206,0.9588811338611988,0.007047045098949031,0.9439046377224736,0.009407955642490983,0.3333332821702166,0.00019467567030128922,2.8317086508438205,0.02752743015370783,0.8686911175576737,0.016842886078633372,0.8686911175576737,0.016842886078633372
exp2_tc_42d,sage,2,1,0.9157055644977536,0.011911763308735359,0.9737650539791314,0.010815158839683757,0.7678574388727725,0.034711508752267306,0.8582362141695329,0.022982291373789702,0.010371247943547136,0.004391589994505434,0.2321425611272275,0.034711508752267306,0.958233436236835,0.0087770583683858,0.9418428699949747,0.010597523493187351,0.3333332821702166,0.00019467567030128922,2.8255264093613026,0.031481320677702034,0.865016576875259,0.016696754746636924,0.865016576875259,0.016696754746636924
exp2_tc_42d,sage,2,2,0.9192038995404925,0.008296489026297494,0.9698188764256054,0.0055040991216363435,0.7820272137035502,0.02740747108489861,0.8655816420216722,0.016103685294746612,0.012210242773529788,0.002550579885329042,0.21797278629644978,0.02740747108489862,0.9600751272474873,0.009090484492372269,0.9457377657903535,0.009167979352718488,0.3333332821702166,0.00019467567030128922,2.837209398653786,0.02694761606879151,0.8731502970023485,0.014615599709583711,0.8731502970023485,0.014615599709583711
exp2_tc_42d,sage,2,3,0.9133409063608973,0.01261046250276191,0.9630838780929402,0.018188031441953113,0.7696940185108441,0.03372957000623682,0.8552109513809667,0.023022201365797506,0.014836811627193119,0.007552254125756304,0.230305981489156,0.0337295700062368,0.9575562369808989,0.012631899347114532,0.9397131524622239,0.01534080409518365,0.3333332821702166,0.00019467567030128922,2.819137689253008,0.04583867209497764,0.8665906893217293,0.025482135708518334,0.8665906893217293,0.025482135708518334
exp2_tc_42d,sage,2,4,0.9141281540434909,0.009172740662355799,0.968899995071515,0.007491975335473148,0.7670638209697472,0.028403967279259323,0.8559623749557531,0.017822198169941655,0.012342683511473024,0.0031068935937865524,0.2329361790302528,0.028403967279259295,0.9566138077434495,0.008472731740462959,0.9398533182509171,0.008056132752049963,0.3333332821702166,0.00019467567030128922,2.8195546124697266,0.02335408971921192,0.8616003591656305,0.016814313247199137,0.8616003591656305,0.016814313247199137
exp2_tc_42d,sage,3,0,0.9279809202154274,0.007337920594083299,0.974532912507194,0.010420712965635176,0.7310899295482802,0.02867675165227708,0.8351420689310846,0.019162413071272772,0.00639007251939392,0.0026445997901750756,0.2689100704517199,0.028676751652277094,0.9595415358254835,0.009549445321594983,0.9290648309123224,0.014883399742618935,0.2499999568594732,0.00018962677981379248,3.7162459528377014,0.05849692234932255,0.8534576598977759,0.020925590960281244,0.8534576598977759,0.020925590960281244
exp2_tc_42d,sage,3,1,0.9274551241539862,0.008632961541695459,0.967845531047848,0.007618647607996323,0.7342429893631717,0.03493382029974262,0.8345937272592698,0.022838948511413017,0.008140466679843654,0.0020223740875293236,0.2657570106368283,0.034933820299742624,0.9591481226273324,0.010784421100135609,0.9251049555739058,0.01485791746006285,0.2499999568594732,0.00018962677981379248,3.7004011016473326,0.058016914003740455,0.8534569691946402,0.021541943395979618,0.8534569691946402,0.021541943395979618
exp2_tc_42d,sage,3,2,0.9295564559047665,0.008471972835941447,0.9761574324912047,0.009155808206553638,0.7363434175991159,0.035659919613093324,0.8389607625546931,0.02285279715769889,0.006040575926257905,0.0023879688993263086,0.2636565824008841,0.03565991961309336,0.9584196835746184,0.01252133540091702,0.9251402714849324,0.016809583404590354,0.2499999568594732,0.00018962677981379248,3.7005378028954823,0.065692593695486,0.8432166045033845,0.024717328200205353,0.8432166045033845,0.024717328200205353
exp2_tc_42d,sage,3,3,0.9237786437330812,0.009651954293024397,0.9764007515907981,0.004036964124670312,0.7124423262881614,0.04143485468721407,0.8231137108059594,0.027275781505761508,0.005777572461936128,0.0012530515459702736,0.28755767371183866,0.04143485468721409,0.9541254984418831,0.014538710677333715,0.919020318162748,0.019518723376277674,0.2499999568594732,0.00018962677981379248,3.676059120282577,0.07682693172761332,0.8434832159138003,0.02393456875744515,0.8434832159138003,0.02393456875744515
exp2_tc_42d,sage,3,4,0.9254863612605877,0.009108095236521698,0.975451320079299,0.010260363888694354,0.7203218676612793,0.04046942532640538,0.8280068293697435,0.025160124063129393,0.0061270690550721445,0.002973506439631727,0.2796781323387208,0.04046942532640538,0.9548775516944357,0.010822209629053073,0.9227933359076996,0.014254322647061711,0.2499999568594732,0.00018962677981379248,3.6911486491290075,0.055098220944062,0.843483906616936,0.01848744276081864,0.843483906616936,0.01848744276081864
