tag,graph,ratio,seed,test_auc_mean,test_auc_std,test_auc_pr_mean,test_auc_pr_std,test_prevalence_mean,test_prevalence_std,test_p_at_k_mean,test_p_at_k_std,f75_precision_mean,f75_precision_std,f75_recall_mean,f75_recall_std,f75_f1_mean,f75_f1_std,cal_precision_mean,cal_precision_std,cal_recall_mean,cal_recall_std,cal_f1_mean,cal_f1_std,cal_threshold_mean,cal_threshold_std
v0_leaky,leaky,1,0,0.7697520661157025,0.08075677580774226,0.7960641360312765,0.08982769663387112,0.5,0.0,0.7381818181818182,0.07758996082098525,0.7473809523809524,0.15261824282282915,0.5654545454545454,0.19221773696046848,0.6171445824706694,0.12404112795321341,0.6916550116550118,0.10681123076264327,0.72,0.19463889005196564,0.6910532634458465,0.1278918755463328,0.46100000000000013,0.16100034506519273
v0_leaky,leaky,1,1,0.8030578512396694,0.07925206648676567,0.8219838490464723,0.08418133050106022,0.5,0.0,0.7490909090909093,0.08909297049769331,0.8264285714285716,0.11831996903467477,0.6,0.1684477831477248,0.6707298937881789,0.133053363895914,0.7007477244977245,0.118775552339087,0.7963636363636364,0.07135060680126759,0.7397395312544054,0.0729997433096566,0.41800000000000004,0.14627219679609507
v0_leaky,leaky,1,2,0.8083842975206611,0.09895382463184153,0.8432347046228627,0.09350286553558666,0.5,0.0,0.7281818181818182,0.1456091350225672,0.8147222222222222,0.16455998818647916,0.6163636363636364,0.18777123020952524,0.6804300747412202,0.12965691992801412,0.7377636252636253,0.12287148919187753,0.730909090909091,0.15243358005014976,0.7262008116470359,0.10950987284060651,0.4680000000000001,0.04939635614091391
v0_leaky,leaky,1,3,0.7639834710743801,0.1111486562403987,0.7907270664609181,0.10114485942721846,0.5,0.0,0.6881818181818181,0.12354200201804351,0.7596248196248196,0.1497965828776012,0.5454545454545454,0.16386067678297908,0.6171279726465484,0.1329919914363221,0.6933866133866133,0.1067033856093499,0.7790909090909091,0.14888936858330412,0.7290487483530961,0.10855317611118342,0.3570000000000001,0.1259673679084301
v0_leaky,leaky,1,4,0.7707024793388431,0.08839104093343497,0.7890323249318464,0.07931142802731049,0.5,0.0,0.7109090909090909,0.11082792194581784,0.7374314574314573,0.1622953779573284,0.5572727272727273,0.22830271657353898,0.6075889538737836,0.19494159815484127,0.6967138417138418,0.05828734841778982,0.7581818181818181,0.13119497403529304,0.7191936705552266,0.06293870136513764,0.39200000000000007,0.14755789824110854
v0_leaky,leaky,2,0,0.7511623376623378,0.12947354753981422,0.6957036948974558,0.14791748533680577,0.33323252688172045,0.008642788404869031,0.5936363636363635,0.1445711812439844,0.7333333333333334,0.24147404161523967,0.33181818181818185,0.1593864498758925,0.4318394024276377,0.1488593080931556,0.6324053724053724,0.16101355030182035,0.5836363636363637,0.20340535237239304,0.5900234453107652,0.1385717953082533,0.4780000000000001,0.08866917289691063
v0_leaky,leaky,2,1,0.7978506493506494,0.08736250665111192,0.7431724528061544,0.11002870730794048,0.33323252688172045,0.008642788404869031,0.6727272727272727,0.09090909090909095,0.7901803751803752,0.21207497336443526,0.47636363636363627,0.21087077325209758,0.5535177103598156,0.1873129347241299,0.6411416361416361,0.15064270620931972,0.6627272727272726,0.11446766638794205,0.6447371946490266,0.11128018356451719,0.40700000000000003,0.08692908987598265
v0_leaky,leaky,2,2,0.7813181818181818,0.14093350102843774,0.7452597629776184,0.15852867747647778,0.33323252688172045,0.008642788404869031,0.6418181818181818,0.1734540795792401,0.7182539682539683,0.1680675150716253,0.5363636363636364,0.21902195151021395,0.594241570263242,0.19216948653362917,0.616009546009546,0.14362214109554,0.6718181818181819,0.19626681114499414,0.6323107868485442,0.1468882263459196,0.39100000000000007,0.12077987323133679
v0_leaky,leaky,2,3,0.7785086580086581,0.09410635967233912,0.7331195959391144,0.09959063870837734,0.33323252688172045,0.008642788404869031,0.6318181818181818,0.13560394445614818,0.7877272727272727,0.1304785352127756,0.4418181818181819,0.21797970436522646,0.5283322559793148,0.16427418157471582,0.6598701298701297,0.135748522953064,0.6181818181818182,0.1913654958042054,0.6208004413886767,0.13592621093877755,0.4870000000000001,0.05793674711844521
v0_leaky,leaky,2,4,0.7689805194805195,0.11116131970764019,0.7132021336212274,0.13040395058425489,0.33323252688172045,0.008642788404869031,0.5963636363636364,0.13035235148316304,0.7213780663780663,0.32617644192020734,0.38363636363636366,0.21289038035943939,0.4646769589722881,0.20138470878614825,0.5627380952380953,0.16577145253993006,0.5963636363636364,0.17608120674344477,0.5681619433198379,0.1488245240808851,0.42800000000000005,0.07612854625930776
